model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals
gp,100,3,scale,426,3,1.0,0.060528248899642784,0.0255405667193562,0.20147074121761593,0.8927272467724188,0.010292401892012727,0.6948356807511737,32.02582159624413,18.035211267605632,480000.0
knn,100,1,scale,426,3,0.9929577464788732,0.009612220909030049,-0.0009788532030542,0.04047978161262186,0.7373546214384785,0.0005861616707054711,0.931924882629108,21.58450704225352,17.976525821596244,480000.0
knn,100,2,scale,426,3,1.0,0.01173300994079849,-0.00092598130460535,0.036847822193849245,1.0809548783439165,0.004732385573556057,0.9436619718309859,26.009389671361504,18.030516431924884,480000.0
knn,100,3,scale,426,3,1.0,0.011950610013292041,-0.00092598130460535,0.03894943484950915,1.0809548783439165,0.005806409244734454,0.9366197183098591,29.781690140845072,18.02112676056338,480000.0
mlp,100,1,scale,426,3,0.9929577464788732,0.08599888272957193,0.0348243554967226,0.23827996840966623,0.7515709192301203,0.0029830232819583564,0.5751173708920188,21.76525821596244,17.981220657276996,480000.0
mlp,100,2,scale,426,3,1.0,0.08638407126998111,0.03220729555735685,0.23332142734811664,1.036735333467099,0.0017117567587264168,0.5845070422535211,26.03286384976526,18.028169014084508,480000.0
mlp,100,3,scale,426,3,1.0,0.08665416881308063,0.0332528849052248,0.23503496399514173,1.036735333467099,0.0031500598791952108,0.5774647887323944,29.523474178403756,18.018779342723004,480000.0
poly3,100,1,scale,426,3,0.9929577464788732,0.09145453782945488,0.0441093048238545,0.237687851071519,0.7573167578487179,0.0033743738452805,0.5492957746478874,21.856807511737088,17.988262910798124,480000.0
poly3,100,2,scale,426,3,1.0,0.09226997253700026,0.04207823284670305,0.2379694697537985,0.9907373935962792,0.005739724738239773,0.5704225352112676,26.12676056338028,18.030516431924884,480000.0
poly3,100,3,scale,426,3,1.0,0.09332136774718446,0.0437565256229528,0.23915385668669514,0.9907373935962792,0.008067312485556316,0.5610328638497653,29.685446009389672,18.018779342723004,480000.0
gp,208,1,scale,426,3,0.9953051643192489,0.05775537148758275,0.0234176508593344,0.19329254593687614,0.295534942314537,0.022934938572978243,0.6737089201877934,22.215962441314552,18.056338028169016,998400.0
gp,208,2,scale,426,3,0.9976525821596244,0.05904127925570977,0.0241493490452719,0.19288653186248933,0.6023178975737631,0.02517620691327047,0.6784037558685446,26.727699530516432,18.030516431924884,998400.0
gp,208,3,scale,426,3,0.9976525821596244,0.06697676202036473,0.0282673133660951,0.20888300944933222,0.6023178975737631,0.013984656377860111,0.647887323943662,30.694835680751172,18.0,998400.0
knn,208,1,scale,426,3,0.9953051643192489,0.0013899595860822258,-0.00264693741267725,0.027243137780818605,0.2830733760644419,0.0016709850640461493,0.960093896713615,21.661971830985916,18.011737089201876,998400.0
knn,208,2,scale,426,3,0.9976525821596244,0.0035589151468305483,-0.0026963654246834,0.024676646453278946,0.648710199610079,0.003599460830474621,0.9624413145539906,25.920187793427232,18.007042253521128,998400.0
knn,208,3,scale,426,3,0.9976525821596244,0.0060973326171049535,-0.0026963654246834,0.02677721206202817,0.648710199610079,0.002271884551829594,0.9530516431924883,29.544600938967136,17.990610328638496,998400.0
mlp,208,1,scale,426,3,0.9953051643192489,0.06893509215432288,0.029313141709547297,0.22063134740854398,0.3184831338589384,0.026654541091245824,0.647887323943662,21.781690140845072,18.016431924882628,998400.0
mlp,208,2,scale,426,3,0.9976525821596244,0.07066638721414503,0.0271261338485211,0.22317690135784396,0.63431334018782,0.027898982598325,0.6549295774647887,25.93661971830986,18.007042253521128,998400.0
mlp,208,3,scale,426,3,0.9976525821596244,0.07295359083984762,0.0290783813589607,0.2240386975121786,0.63431334018782,0.02633869577606823,0.6431924882629108,29.38262910798122,17.992957746478872,998400.0
poly3,208,1,scale,426,3,0.9953051643192489,0.09587444606195457,0.0455039993375394,0.23644954329710605,0.3170699431682977,0.0042969515343905425,0.5352112676056338,21.96713615023474,18.035211267605632,998400.0
poly3,208,2,scale,426,3,0.9976525821596244,0.09796200745934591,0.0456263909162488,0.23792196538573362,0.6659094278898521,0.0068483797736065,0.528169014084507,26.06338028169014,18.007042253521128,998400.0
poly3,208,3,scale,426,3,0.9976525821596244,0.09994475941377998,0.0472713703825897,0.23792196538573362,0.6659094278898521,0.005522596818853257,0.5187793427230047,29.561032863849764,17.988262910798124,998400.0
gp,50,1,scale+thin,426,3,0.9929577464788732,0.038798306631085445,0.0208832904337177,0.07775045692723388,0.9054853061611136,0.005575313022089294,0.7652582159624414,66.61267605633803,62.014084507042256,240000.0
gp,50,2,scale+thin,426,3,1.0,0.05116089630528291,0.02077968855857245,0.11003807586586065,0.9054853061611136,0.005934688913013039,0.7652582159624414,72.38028169014085,62.95774647887324,240000.0
gp,50,3,scale+thin,426,3,1.0,0.055569430473931064,0.02100087420698955,0.1155968991582733,0.9054853061611136,0.007336030244794426,0.755868544600939,77.00704225352112,63.028169014084504,240000.0
knn,50,1,scale+thin,426,3,0.9929577464788732,0.008633539943033225,-0.0021134327766886,0.0304278321778047,0.9078903522469128,0.00471815202166006,0.9553990610328639,64.85680751173709,60.929577464788736,240000.0
knn,50,2,scale+thin,426,3,1.0,0.015503964456044505,-0.001908606579122,0.02856478199127805,0.9712009346895356,0.005020040254254188,0.9577464788732394,69.9225352112676,61.80046948356807,240000.0
knn,50,3,scale+thin,426,3,1.0,0.015148535067918772,-0.001908606579122,0.0279055710907288,0.9712009346895356,0.003991407054318488,0.9624413145539906,73.84507042253522,61.79342723004695,240000.0
mlp,50,1,scale+thin,426,3,0.9929577464788732,0.05052967659361525,0.0231363201950085,0.1401493574922117,0.9047813827585942,0.011687051734746143,0.6690140845070423,65.82863849765258,61.948356807511736,240000.0
mlp,50,2,scale+thin,426,3,1.0,0.05537584560016413,0.0216002471636563,0.1440488119411327,0.9047813827585942,0.012692900824415855,0.6807511737089202,70.48826291079813,62.659624413145536,240000.0
mlp,50,3,scale+thin,426,3,1.0,0.055739718204305636,0.0216002471636563,0.1428882323371869,0.9047813827585942,0.010231274644730495,0.6807511737089202,74.3075117370892,62.694835680751176,240000.0
poly3,50,1,scale+thin,426,3,0.9929577464788732,0.06403989037960946,0.0372103040793292,0.13861988737915532,0.9077115966297132,0.004421119331273068,0.5751173708920188,67.76291079812206,63.79577464788732,240000.0
poly3,50,2,scale+thin,426,3,1.0,0.07282390122263416,0.0350011058591619,0.14511266797923214,0.9313983771722132,0.00730437985553924,0.5915492957746479,72.4319248826291,64.49765258215963,240000.0
