reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals
PPO (5 seeds),poly3,208,1,scale+thin,0.05798712721265582,0.09048149163428103,-0.03249436442162521,-0.048264295216458676,-0.019076880808322965,0.6549295774647887,67.18544600938966,112.62535211267605
PPO (5 seeds),poly3,208,2,none,0.10278824835880995,0.4303112005999481,-0.3275229522411381,-0.3659282607808884,-0.2918736145232105,1.0,8.056338028169014,39.91267605633803
PPO (5 seeds),poly3,208,2,scale,0.09785143003263751,0.1949954392653361,-0.09714400923269863,-0.11830352950702051,-0.07613523499703512,0.7394366197183099,26.06338028169014,56.91267605633803
PPO (5 seeds),poly3,208,2,scale+thin,0.05952063807016854,0.09048149163428103,-0.030960853564112493,-0.044477334086719535,-0.01888603618591313,0.6971830985915493,71.65727699530517,112.62535211267605
PPO (5 seeds),poly3,208,3,none,0.10356296851817863,0.4334410649437438,-0.3298780964255652,-0.36711159297823037,-0.29295018891366353,1.0,11.572769953051644,39.91267605633803
PPO (5 seeds),poly3,208,3,scale,0.0998295276397607,0.1949954392653361,-0.09516591162557543,-0.11552198736254511,-0.07483357735824034,0.7394366197183099,29.561032863849764,56.91267605633803
PPO (5 seeds),poly3,208,3,scale+thin,0.06149873567729173,0.09048149163428103,-0.02898275595698929,-0.04088658838213273,-0.01848694907690562,0.6901408450704225,75.12910798122066,112.62535211267605
DE reparam G=40 + same operator,gp,50,1,none,0.052616779782954426,0.34046111203126506,-0.2878443322483107,-0.3114120694621692,-0.26421254221132184,0.9928571428571429,4.598591549295775,40.0
DE reparam G=40 + same operator,gp,50,1,scale,0.047570575769305054,0.33518626320604955,-0.28761568743674454,-0.3111567809417049,-0.2672503250135209,1.0,22.633802816901408,57.92253521126761
DE reparam G=40 + same operator,gp,50,1,scale+thin,0.03915581945230781,0.2113472745887967,-0.1721914551364889,-0.1936217110923949,-0.15322834789155598,0.9929577464788732,66.61267605633803,108.25211267605634
DE reparam G=40 + same operator,gp,50,2,none,0.06285980852547257,0.3421113706414395,-0.2792515621159669,-0.30042374213052436,-0.2591838599423164,0.9858156028368794,9.422535211267606,40.0
DE reparam G=40 + same operator,gp,50,2,scale,0.05991285889723018,0.33518626320604955,-0.27527340430881936,-0.29559282525850533,-0.25472387380553213,0.9859154929577465,27.460093896713616,57.92253521126761
DE reparam G=40 + same operator,gp,50,2,scale+thin,0.051160896305282894,0.2113472745887967,-0.16018637828351381,-0.17834014708924292,-0.1422445238949771,0.9788732394366197,72.38028169014085,108.25211267605634
DE reparam G=40 + same operator,gp,50,3,none,0.0651964278290637,0.3421113706414395,-0.27691494281237583,-0.2965268050360457,-0.2578607080572913,0.9858156028368794,13.97887323943662,40.0
DE reparam G=40 + same operator,gp,50,3,scale,0.06432139306587834,0.33518626320604955,-0.27086487014017124,-0.29110623691023696,-0.2503367962162159,0.9859154929577465,32.00469483568075,57.92253521126761
DE reparam G=40 + same operator,gp,50,3,scale+thin,0.05556943047393105,0.2113472745887967,-0.15577784411486562,-0.17336462704380348,-0.1381481241603894,0.9788732394366197,77.00704225352112,108.25211267605634
DE reparam G=40 + same operator,gp,100,1,none,0.053463234125806516,0.3370828276183581,-0.28361959349255167,-0.3043323522593835,-0.2648616495228606,1.0,4.544600938967136,40.0
DE reparam G=40 + same operator,gp,100,1,scale,0.047526761415162065,0.33518626320604955,-0.2876595017908875,-0.30941103823102467,-0.26683765868384085,1.0,22.572769953051644,57.92253521126761
DE reparam G=40 + same operator,gp,100,1,scale+thin,0.0382311037376437,0.2113472745887967,-0.17311617085115302,-0.1945134147870868,-0.15329238160726968,0.9929577464788732,66.0469483568075,108.25211267605634
DE reparam G=40 + same operator,gp,100,2,none,0.057986021123947205,0.34046111203126506,-0.28247509090731787,-0.3046663341604451,-0.26152979604597004,0.9928571428571429,9.549295774647888,40.0
DE reparam G=40 + same operator,gp,100,2,scale,0.05066335719698283,0.33518626320604955,-0.2845229060090667,-0.30630049781768814,-0.2657909685219193,1.0,27.612676056338028,57.92253521126761
DE reparam G=40 + same operator,gp,100,2,scale+thin,0.04158060097249989,0.2113472745887967,-0.1697666736162968,-0.18934430107894148,-0.15212767482087297,0.9929577464788732,72.07511737089202,108.25211267605634
DE reparam G=40 + same operator,gp,100,3,none,0.060231425435266876,0.34046111203126506,-0.2802296865959982,-0.29963770493188524,-0.26237234163578865,0.9928571428571429,13.990610328638498,40.0
DE reparam G=40 + same operator,gp,100,3,scale,0.060528248899642784,0.33518626320604955,-0.2746580143064068,-0.2949999053795923,-0.2559556929599156,0.9929577464788732,32.02582159624413,57.92253521126761
DE reparam G=40 + same operator,gp,100,3,scale+thin,0.05144549267515985,0.2113472745887967,-0.15990178191363685,-0.17786857587507618,-0.14412819379658087,0.9788732394366197,76.60798122065728,108.25211267605634
DE reparam G=40 + same operator,gp,208,1,none,0.06525717502746015,0.3385800846960467,-0.2733229096685865,-0.29368675289344354,-0.2544211069204902,1.0,4.15962441314554,40.0
