label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,2,11,6.0,140.0,697.879425726456,scale,1,-0.015320902428684002,9,18,27
0,50,knn,2,11,6.0,140.0,697.879425726456,scale+thin,1,-0.015320902428684002,9,55,64
0,50,knn,3,11,6.0,140.0,697.879425726456,none,1,-0.01383173941768634,14,0,14
0,50,knn,3,11,6.0,140.0,697.879425726456,scale,1,-0.015320902428684002,14,18,32
0,50,knn,3,11,6.0,140.0,697.879425726456,scale+thin,1,-0.015320902428684002,14,55,69
0,50,knn,1,10,6.0,129.0909090909091,657.4964976148059,none,1,-0.0034991714848636724,4,0,4
0,50,knn,1,10,6.0,129.0909090909091,657.4964976148059,scale,1,-0.005003937186182417,4,18,22
0,50,knn,1,10,6.0,129.0909090909091,657.4964976148059,scale+thin,1,-0.005003937186182417,4,55,59
0,50,knn,2,10,6.0,129.0909090909091,657.4964976148059,none,1,-0.0034991714848636724,9,0,9
0,50,knn,2,10,6.0,129.0909090909091,657.4964976148059,scale,1,-0.005003937186182417,9,18,27
0,50,knn,2,10,6.0,129.0909090909091,657.4964976148059,scale+thin,1,-0.005003937186182417,9,55,64
0,50,knn,3,10,6.0,129.0909090909091,657.4964976148059,none,1,-0.0034991714848636724,14,0,14
0,50,knn,3,10,6.0,129.0909090909091,657.4964976148059,scale,1,-0.005003937186182417,14,18,32
0,50,knn,3,10,6.0,129.0909090909091,657.4964976148059,scale+thin,1,-0.005003937186182417,14,55,69
0,50,knn,1,13,6.818181818181818,30.909090909090907,392.6423822212096,none,1,-0.010226530076641982,3,0,3
0,50,knn,1,13,6.818181818181818,30.909090909090907,392.6423822212096,scale,1,-0.011791782756647606,3,18,21
0,50,knn,1,13,6.818181818181818,30.909090909090907,392.6423822212096,scale+thin,1,-0.011817904211081198,3,53,56
0,50,knn,2,13,6.818181818181818,30.909090909090907,392.6423822212096,none,1,-0.010226530076641982,9,0,9
0,50,knn,2,13,6.818181818181818,30.909090909090907,392.6423822212096,scale,1,-0.011791782756647606,9,18,27
0,50,knn,2,13,6.818181818181818,30.909090909090907,392.6423822212096,scale+thin,1,-0.011817904211081198,9,53,62
0,50,knn,3,13,6.818181818181818,30.909090909090907,392.6423822212096,none,1,-0.010226530076641982,12,0,12
0,50,knn,3,13,6.818181818181818,30.909090909090907,392.6423822212096,scale,1,-0.011791782756647606,12,18,30
0,50,knn,3,13,6.818181818181818,30.909090909090907,392.6423822212096,scale+thin,1,-0.011817904211081198,12,53,65
0,50,knn,1,12,6.818181818181818,20.0,317.0885192434045,none,1,-0.0012620112099727132,5,0,5
0,50,knn,1,12,6.818181818181818,20.0,317.0885192434045,scale,1,-0.002374650118031396,5,18,23
0,50,knn,1,12,6.818181818181818,20.0,317.0885192434045,scale+thin,1,-0.003173430887156159,5,54,59
