context_idx,span_m,load_kNm,gt_economy,method,space,budget,seed,feasible,best_economy,gap,n_evals,n_direct,n_sizing,n_feasible_evals,n_at_best,wall_s,hp,h,b,tf,tw,fy,section_type
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,400,0,1,708.9052912377433,0.07818869577166221,400,96,304,247,329,0.14318258699995567,"{""start_evals"": 25}",484.562367021265,186.24219723146592,12.526683336782304,9.312109861573296,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,400,1,1,770.4091685226635,0.17173121274025016,400,99,301,253,252,0.15084799699980067,"{""start_evals"": 25}",453.8471317528285,235.23329682236786,11.499597822456254,6.343410284909431,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,400,2,1,902.797807633606,0.37308382768376336,400,96,304,244,344,0.16221643099970606,"{""start_evals"": 25}",446.4757973169766,182.2268707858805,14.016858928290956,8.58966075327121,500.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,400,3,1,787.2438980164682,0.1973355004510986,400,91,309,259,176,0.1541995229999884,"{""start_evals"": 25}",559.0032580153412,237.15180032953756,13.870914040619736,6.123014236436882,355.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,400,4,1,750.4979345254169,0.1414478058027555,400,101,299,245,204,0.16021873799991226,"{""start_evals"": 25}",571.2070119609804,178.65834964421896,11.910556642947931,11.612111748234222,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,1600,0,1,729.2971928480051,0.10920316000719388,1600,401,1199,1018,1563,0.5807116370001495,"{""start_evals"": 25}",444.98834201884705,195.65746533485816,13.043831022323877,9.782873266742907,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,1600,1,1,737.15654640222,0.12115661311717418,1600,373,1227,1005,1532,0.5218472550000115,"{""start_evals"": 25}",372.039059376193,206.58492101358644,14.761012968457049,9.350373824636078,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,1600,2,1,703.9533136119501,0.0706571307462096,1600,380,1220,1025,1374,0.6578914689998783,"{""start_evals"": 25}",509.41828304309826,199.60761309027941,13.286428849205185,9.630110469757643,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,1600,3,1,779.2756896807954,0.18521648785623457,1600,390,1210,1021,1296,0.6838686430000962,"{""start_evals"": 25}",543.6374662015993,254.83174763256093,13.001969219963106,6.0,355.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,1600,4,1,727.3391487467915,0.10622513030161085,1600,390,1210,995,226,0.6246846600001845,"{""start_evals"": 25}",431.6225267725222,224.47609858444096,13.673547253761862,10.255160440321397,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,4800,0,1,709.904503570552,0.07970841844156773,4800,1094,3706,2963,2753,1.8814967929997692,"{""start_evals"": 25}",509.9129261669529,190.69716960524798,14.286091107832538,9.534858480262399,355.0,rolled
