method,space,budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_p95,gap_max,gap_std,seedmean_mean,seedmean_sd,seedmean_min,seedmean_max,within_ctx_sd_mean,frac_gap_le_2pct,frac_gap_le_5pct,mean_evals,max_evals,mean_sizing_frac,mean_wall_s
cmaes,raw,25,710,142,5,0.8464788732394366,0.9397948076787315,0.7878729576841144,1.6451666554393078,1.962959924156518,4.888166239286911,0.5603971346636369,0.9399305870093932,0.027680148675565338,0.8980676573956621,0.9702283303797063,0.4749036204124373,0.0,0.0,25.0,25,0.0,0.042102614746475905
cmaes,raw,50,710,142,5,0.9267605633802817,0.5656089908626971,0.5078970989236715,0.9827234940397498,1.1076295486626233,2.309743670269748,0.3041692295094598,0.5652736423703516,0.01606734666431465,0.5514047419851824,0.5894828671710649,0.26910294683001745,0.0,0.0014084507042253522,50.0,50,0.0,0.06295103235635509
cmaes,raw,100,710,142,5,0.9774647887323944,0.3611099724812325,0.3177970720225535,0.6282332697450493,0.7245902331766677,1.5227121431477069,0.20639298985527843,0.36114446340806966,0.023501444234285507,0.32179510621801183,0.38344196219583976,0.16955158157450176,0.0,0.0014084507042253522,100.0,100,0.0,0.1127374496704102
cmaes,raw,400,710,142,5,0.9943661971830986,0.08564397697048048,0.0600619985806575,0.1923401230068593,0.25690081256745656,0.5805115990096723,0.08674980305096526,0.08564161251866698,0.0038691790931198876,0.080801759197118,0.09023774587638117,0.06635930571693353,0.17183098591549295,0.4323943661971831,400.0,400,0.0,0.34837055678450146
cmaes,raw,1600,710,142,5,0.995774647887324,0.01732325323430604,-0.0006214821272418,0.0758938518643713,0.1198601527827203,1.2878473436436049,0.07178773500637663,0.017317066131870635,0.006894805425624106,0.008518293865981153,0.02608313810320804,0.035676136542568945,0.7633802816901408,0.8591549295774648,1600.0,1600,0.0,1.1262545113253406
cmaes,raw,4800,710,142,5,0.9943661971830986,0.001756954988962184,-0.004257939344411651,0.0319789610055484,0.061407973347145026,0.3657347337648327,0.03535044642641748,0.0017560818857367162,0.0013287583252647244,0.0003278176702365719,0.003552110849867204,0.018359750628470714,0.8492957746478873,0.9295774647887324,4800.0,4800,0.0,3.0369543046084377
ms_nm,raw,25,710,142,5,0.4647887323943662,1.8334225875771997,1.4281106127011824,3.4828763154387974,4.809465216292564,9.685764011059064,1.3962292820674505,1.834185775337314,0.2566857239125912,1.6623759917368977,2.2867330884010135,0.8867589756674364,0.0,0.0,25.0,25,0.0,0.010783107683105923
ms_nm,raw,50,710,142,5,0.5929577464788732,1.1239795837824582,0.9057688888267272,2.143661155716005,2.54210033859369,6.689782861809684,0.814446374668997,1.1245967656569629,0.07210063337105091,1.0233674775912696,1.1973863905263218,0.5886864177276832,0.0,0.0,50.0,50,0.0,0.018326668291537507
ms_nm,raw,100,710,142,5,0.7154929577464789,0.9366908766295257,0.8031508721848294,1.6912524289522706,2.3660512034622365,4.772913770217469,0.6698995805562474,0.9364206063281468,0.09834666373675802,0.7919804159492989,1.0302937616753602,0.5290323938119843,0.004225352112676056,0.01267605633802817,100.0,100,0.0,0.03524448215493875
ms_nm,raw,400,710,142,5,0.9366197183098591,0.4364372915097132,0.3714726671399584,0.8305157982225638,1.0915694433355985,1.6288489591921786,0.2976254377745915,0.4364410672430011,0.019384663028491178,0.40814535882423303,0.4628979072318025,0.26429169271985464,0.01971830985915493,0.04225352112676056,400.0,400,0.0,0.1385051797028074
