context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
85,11.727273,30.909091,1399.1707585826318,ppo_corrected,policy,40,0,none,40,1,41,1,2281.444845740946,0.6305692723682013
86,11.727273,41.818182,1658.320920880548,ppo_corrected,policy,40,0,none,40,1,41,1,2229.378796382153,0.3443590853321563
87,11.727273,52.727273,1896.895430152976,ppo_corrected,policy,40,0,none,40,1,41,1,3046.070523839449,0.6058188951374075
88,11.727273,63.636364,2122.483987052358,ppo_corrected,policy,40,0,none,40,1,41,1,3157.550448487439,0.4876675007911606
89,11.727273,74.545455,2414.680044837911,ppo_corrected,policy,40,0,none,40,1,41,1,3153.6922916522385,0.3060497594263818
90,11.727273,85.454545,2607.2244497923484,ppo_corrected,policy,40,0,none,40,1,41,1,3773.7037192063262,0.44740270424622697
91,11.727273,96.363636,2824.34606849496,ppo_corrected,policy,40,0,none,40,1,41,1,4158.118861962915,0.4722412767847166
92,11.727273,107.272727,3054.1802093068686,ppo_corrected,policy,40,0,none,40,1,41,1,4161.347398822514,0.36250879569641103
93,11.727273,118.181818,3357.8991517305085,ppo_corrected,policy,40,0,none,40,1,41,1,3897.02955815165,0.1605558660519324
94,11.727273,129.090909,3650.466675336178,ppo_corrected,policy,40,0,none,40,1,41,1,4646.002662657984,0.27271471728477703
95,11.727273,140.0,3950.7596541302537,ppo_corrected,policy,40,0,none,40,1,41,1,4579.486338187891,0.1591407068765487
96,12.545455,20.0,1307.1994834284806,ppo_corrected,policy,40,0,none,40,1,41,1,2111.670285993192,0.6154154838363088
97,12.545455,30.909091,1673.5520688887286,ppo_corrected,policy,40,0,none,40,1,41,1,2797.0409772281128,0.671319960236076
98,12.545455,41.818182,1957.4303873162305,ppo_corrected,policy,40,0,none,40,1,41,1,2992.647673538308,0.5288654416167671
99,12.545455,52.727273,2222.5772160497027,ppo_corrected,policy,40,0,none,40,1,41,1,3226.349100782659,0.4516252022582192
100,12.545455,63.636364,2552.3230156844406,ppo_corrected,policy,40,0,none,40,1,41,1,3441.6041678976776,0.3484203005452129
101,12.545455,74.545455,2864.0220557743514,ppo_corrected,policy,40,0,none,40,1,41,1,3707.152297093253,0.294386783655876
102,12.545455,85.454545,3136.2352005841685,ppo_corrected,policy,40,0,none,40,1,41,1,4817.864530814236,0.5361936279258774
103,12.545455,96.363636,3474.753399293351,ppo_corrected,policy,40,0,none,40,1,41,1,4673.96379781485,0.3451210088075254
104,12.545455,107.272727,3859.290256207383,ppo_corrected,policy,40,0,none,40,1,41,1,4618.495362288685,0.19672143209756676
105,12.545455,118.181818,4215.558205846268,ppo_corrected,policy,40,0,none,40,1,41,1,4878.421981183293,0.15724223055863518
106,12.545455,129.090909,4601.917380514503,ppo_corrected,policy,40,0,none,40,1,41,1,5609.519713531003,0.21895272115985875
107,12.545455,140.0,5031.3200482783495,ppo_corrected,policy,40,0,none,40,1,41,1,5619.077100000001,0.11681965092297686
108,13.363636,20.0,1553.9456704912225,ppo_corrected,policy,40,0,none,40,1,41,1,2757.983123096641,0.7748259642982285
109,13.363636,30.909091,2055.764041961098,ppo_corrected,policy,40,0,none,40,1,41,1,3472.250634683836,0.6890317000444659
110,13.363636,41.818182,2295.1327804460216,ppo_corrected,policy,40,0,none,40,1,41,1,3374.101852879639,0.47011183040309223
111,13.363636,52.727273,2698.233573079863,ppo_corrected,policy,40,0,none,40,1,41,1,3995.2859547880153,0.4807042632071503
112,13.363636,63.636364,3099.504449257762,ppo_corrected,policy,40,0,none,40,1,41,1,4997.041123678618,0.6122064689648239
113,13.363636,74.545455,3409.0278837627866,ppo_corrected,policy,40,0,none,40,1,41,1,4992.064932209291,0.46436611914690307
114,13.363636,85.454545,3859.8972334468967,ppo_corrected,policy,40,0,none,40,1,41,1,4755.514256809583,0.23203131306242009
115,13.363636,96.363636,4319.916451720051,ppo_corrected,policy,40,0,none,40,1,41,1,5206.205824995136,0.20516354498527245
116,13.363636,107.272727,4782.366988912803,ppo_corrected,policy,40,0,none,40,1,41,1,5889.951031992117,0.23159745909234508
117,13.363636,118.181818,5228.730538579276,ppo_corrected,policy,40,0,none,40,1,41,1,5984.296744903743,0.14450280058412912
118,13.363636,129.090909,6054.672912989209,ppo_corrected,policy,40,0,none,40,1,41,1,7429.602170454546,0.22708563736212306
119,13.363636,140.0,6583.558144781793,ppo_corrected,policy,40,0,none,40,1,41,1,9374.274377999998,0.42389178797337124
120,14.181818,20.0,1796.9028968466985,ppo_corrected,policy,40,0,none,40,1,41,1,2673.1407704098624,0.4876378546113054
121,14.181818,30.909091,2224.07150895444,ppo_corrected,policy,40,0,none,40,1,41,1,3406.796871981522,0.5317838739740406
122,14.181818,41.818182,2615.0382292659383,ppo_corrected,policy,40,0,none,40,1,41,1,3572.2993192980084,0.36606007488493986
123,14.181818,52.727273,3202.0654799770145,ppo_corrected,policy,40,0,none,40,1,41,1,4773.760919339709,0.4908380072770957
124,14.181818,63.636364,3623.765744949169,ppo_corrected,policy,40,0,none,40,1,41,1,5076.84990309205,0.4009873320780186
125,14.181818,74.545455,4194.266016339479,ppo_corrected,policy,40,0,none,40,1,41,1,5459.625915767184,0.30168804136368044
126,14.181818,85.454545,4739.8598837186255,ppo_corrected,policy,40,0,none,40,1,41,1,5530.012314721196,0.1667037529351314
127,14.181818,96.363636,5290.364352494784,ppo_corrected,policy,40,0,none,40,1,41,1,6342.848946656993,0.1989436878134656
128,14.181818,107.272727,6179.874379812138,ppo_corrected,policy,40,0,none,40,1,41,1,6352.0002,0.027852640621652158
129,14.181818,118.181818,6852.162427149681,ppo_corrected,policy,40,0,none,40,1,41,1,7884.475772727273,0.1506551189573897
130,14.181818,129.090909,9553.512737278232,ppo_corrected,policy,40,0,none,40,1,41,1,14758.0816924318,0.5447806579924377
131,14.181818,140.0,12744.824501296387,ppo_corrected,policy,40,0,none,8,1,9,1,15432.073285496006,0.21085019914760506
132,15.0,20.0,2057.2483346770277,ppo_corrected,policy,40,0,none,40,1,41,1,4313.817634181033,1.0968871679063819
133,15.0,30.909091,2565.283454586496,ppo_corrected,policy,40,0,none,40,1,41,1,4500.414008877094,0.7543535007138327
134,15.0,41.818182,3234.6725939942403,ppo_corrected,policy,40,0,none,40,1,41,1,4462.776108481841,0.37966856885849865
135,15.0,52.727273,3765.638206814382,ppo_corrected,policy,40,0,none,40,1,41,1,5910.50616886866,0.5695894943313666
136,15.0,63.636364,4414.262908667717,ppo_corrected,policy,40,0,none,40,1,41,1,5873.651608979498,0.33060756246443046
137,15.0,74.545455,5073.1569950190815,ppo_corrected,policy,40,0,none,40,1,41,1,6029.643426724333,0.18853870137359197
138,15.0,85.454545,5700.335679671592,ppo_corrected,policy,40,0,none,40,1,41,1,6576.741101858493,0.15374628292721737
139,15.0,96.363636,6971.155593281798,ppo_corrected,policy,40,0,none,40,1,41,1,8339.349374999998,0.19626498984425877
140,15.0,107.272727,8192.251861307222,ppo_corrected,policy,40,0,none,40,1,41,1,13167.874947149996,0.6073571919026453
141,15.0,118.181818,13414.02255742561,ppo_corrected,policy,40,0,none,6,1,7,1,15770.840691713176,0.17569808938355336
0,6.0,20.0,241.3288087904857,ppo_corrected,policy,40,0,scale,40,18,58,1,252.62847203012905,0.04682268684072999
1,6.0,30.909091,292.67799548197263,ppo_corrected,policy,40,0,scale,40,18,58,1,312.24719492191304,0.06686255797165241
2,6.0,41.818182,342.2853688824266,ppo_corrected,policy,40,0,scale,40,18,58,1,357.1164698935142,0.04332963766319198
3,6.0,52.727273,386.25765574493386,ppo_corrected,policy,40,0,scale,40,18,58,1,492.5807867399135,0.27526478611776795
4,6.0,63.636364,431.68145507497405,ppo_corrected,policy,40,0,scale,40,18,58,1,479.31552500135433,0.11034541643237206
5,6.0,74.545455,466.9500019446189,ppo_corrected,policy,40,0,scale,40,18,58,1,504.3234287209167,0.08003732009991582
6,6.0,85.454545,518.2473353887603,ppo_corrected,policy,40,0,scale,40,18,58,1,543.6732650932494,0.049061380480453165
7,6.0,96.363636,549.7256874002802,ppo_corrected,policy,40,0,scale,40,18,58,1,707.9825318648685,0.28788329905594234
8,6.0,107.272727,586.6560772595034,ppo_corrected,policy,40,0,scale,40,18,58,1,740.1207951779429,0.2615923091350769
9,6.0,118.181818,628.4217050081675,ppo_corrected,policy,40,0,scale,40,18,58,1,677.8595068775511,0.07866978730268581
10,6.0,129.090909,657.4964976148059,ppo_corrected,policy,40,0,scale,40,18,58,1,681.150886721731,0.03597644883696871
11,6.0,140.0,697.879425726456,ppo_corrected,policy,40,0,scale,40,18,58,1,853.2994329422713,0.22270323710149675
12,6.818182,20.0,317.0885192434045,ppo_corrected,policy,40,0,scale,40,18,58,1,335.20179400318455,0.05712371675581185
13,6.818182,30.909091,392.6423822212096,ppo_corrected,policy,40,0,scale,40,18,58,1,412.24999139885057,0.04993757695417189
14,6.818182,41.818182,455.0251859822217,ppo_corrected,policy,40,0,scale,40,18,58,1,514.9322690848396,0.13165663121108762
15,6.818182,52.727273,519.9507333014534,ppo_corrected,policy,40,0,scale,40,18,58,1,656.6930991749258,0.2629910049462183
16,6.818182,63.636364,570.1996303697795,ppo_corrected,policy,40,0,scale,40,18,58,1,720.0953094039666,0.2628828063900681
17,6.818182,74.545455,645.0378754655677,ppo_corrected,policy,40,0,scale,40,18,58,1,653.3044629657235,0.012815662172068976
18,6.818182,85.454545,698.212152166206,ppo_corrected,policy,40,0,scale,40,18,58,1,867.7359804988025,0.242797017792727
19,6.818182,96.363636,733.8166260116295,ppo_corrected,policy,40,0,scale,40,18,58,1,938.1134603750088,0.27840311478598423
20,6.818182,107.272727,798.4291807439346,ppo_corrected,policy,40,0,scale,40,18,58,1,908.8733709369504,0.13832684583260058
