method,space,mode,gen_budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,seedmean_sd,frac_gap_le_2pct,frac_gap_le_5pct,mean_n_gen,mean_n_repair,mean_n_total,max_n_total
ga,raw,scale+thin,10,710,142,5,0.9492957746478873,0.4726774045529023,0.40123347830589573,0.9218058155066918,1.9194645064302405,0.02071182519586298,0.01267605633802817,0.04647887323943662,10.0,72.1943661971831,82.1943661971831,107
ga,raw,scale+thin,25,710,142,5,0.967605633802817,0.37860944807262725,0.3283810768927186,0.728327235456058,1.5907141719125213,0.009670323716364294,0.038028169014084505,0.07746478873239436,25.0,73.44366197183099,98.44366197183099,120
ga,raw,scale+thin,40,710,142,5,0.9774647887323944,0.33224069488747293,0.2860666468048967,0.7024619521043098,1.168551448428984,0.012234672049010265,0.04507042253521127,0.1028169014084507,40.0,73.70140845070422,113.70140845070422,129
ga,raw,scale+thin,100,710,142,5,0.9887323943661972,0.20897725594859315,0.1561927446821661,0.4634376552233166,0.9272664531706508,0.010443268278494004,0.09154929577464789,0.18309859154929578,100.0,74.90140845070422,174.90140845070422,196
ga,raw,scale+thin,400,710,142,5,1.0,0.06952369716630627,0.050466803762237944,0.15521699077505474,0.4808833474232308,0.005751043976284839,0.26901408450704223,0.4943661971830986,400.0,73.84225352112676,473.84225352112674,485
de,reparam,scale+thin,10,710,142,5,0.9394366197183098,0.45658679213232123,0.4183867744952334,0.8494784272564534,1.3140171325426149,0.020234255710962747,0.01971830985915493,0.05352112676056338,10.0,67.20985915492957,77.20985915492957,99
de,reparam,scale+thin,25,710,142,5,0.9788732394366197,0.27571197180003815,0.2532934375054447,0.5417537901304696,1.0969592516081534,0.01687355402992464,0.04225352112676056,0.09295774647887324,25.0,69.20281690140845,94.20281690140845,111
de,reparam,scale+thin,40,710,142,5,0.9887323943661972,0.23736906343321584,0.20525102144501217,0.4726139265434397,1.1424939763197148,0.014093981728760687,0.06056338028169014,0.13943661971830987,40.0,69.8225352112676,109.8225352112676,126
de,reparam,scale+thin,100,710,142,5,1.0,0.14530231812388378,0.1223419344740953,0.3138531772861839,0.6941837791160619,0.004815474675402174,0.1352112676056338,0.2535211267605634,100.0,68.85352112676057,168.85352112676057,185
de,reparam,scale+thin,400,710,142,5,1.0,0.04917642823012437,0.03184363782621305,0.1201393230054568,0.3550217399637478,0.002705454561814393,0.34788732394366195,0.6239436619718309,400.0,68.88028169014085,468.88028169014086,486
ga,reparam,scale+thin,10,710,142,5,0.9577464788732394,0.4717668337091256,0.4298898110449949,0.8635800085778826,1.4796817037065657,0.019022266667667518,0.022535211267605635,0.04507042253521127,10.0,67.99859154929578,77.99859154929578,98
ga,reparam,scale+thin,25,710,142,5,0.9802816901408451,0.332869969295364,0.29400326425104456,0.6400055252855338,1.160213849668171,0.014154879517705153,0.04366197183098591,0.07746478873239436,25.0,67.86619718309859,92.86619718309859,111
ga,reparam,scale+thin,40,710,142,5,0.9915492957746479,0.27851066351555187,0.25527458943629083,0.5429571658139414,1.120870438173592,0.02362552905095994,0.05211267605633803,0.1056338028169014,40.0,67.57323943661972,107.57323943661972,126
ga,reparam,scale+thin,100,710,142,5,0.9943661971830986,0.18228546305719717,0.1439396982810892,0.38828752440718706,1.111021161363532,0.006688214104797373,0.11267605633802817,0.2112676056338028,100.0,66.59436619718309,166.5943661971831,187
ga,reparam,scale+thin,400,710,142,5,1.0,0.068083227301623,0.04189405097294755,0.1609197628702094,0.5331983370227975,0.006420560195995978,0.35070422535211265,0.5253521126760563,400.0,63.88169014084507,463.8816901408451,486
ppo_corrected,policy,none,40,710,142,1,1.0,0.29034326248802284,0.2558126849673398,0.4877879493851627,1.0968871679063819,,0.0014084507042253522,0.005633802816901409,39.364788732394366,1.0,40.364788732394366,41
ppo_corrected,policy,scale,40,710,142,1,1.0,0.16084359390201997,0.12951063081547154,0.30724507421949165,0.9443685253776106,,0.07464788732394366,0.20985915492957746,39.364788732394366,18.0,57.364788732394366,58
ppo_corrected,policy,scale+thin,40,710,142,1,1.0,0.07494376580122375,0.04260082866107984,0.15627950714869848,0.689529870556659,,0.24788732394366197,0.5563380281690141,39.364788732394366,72.32957746478873,111.6943661971831,125
