update,timesteps,violation_g1_util,violation_g2_class,violation_g3_geom,lambda_g1_util,lambda_g2_class,lambda_g3_geom
69,565248,0.033113274111637045,3.301194382001444e-05,0.000244140625,68.99059801990234,0.5608405760737689,0.5691737458763227
70,573440,0.03155263729027739,4.523898778492126e-06,0.00018310546875,69.14836120635373,0.5608631955676614,0.5695399568138227
71,581632,0.04096145303591561,7.818884075165905e-05,0.00042724609375,69.35316847153331,0.5612541397714197,0.5703944490013227
72,589824,0.03804916192738054,2.3729558427692572e-05,0.0001220703125,69.54341428117021,0.5613727875635581,0.5706385896263227
73,598016,0.039478114827072794,1.083815216861692e-05,0.00018310546875,69.74080485530558,0.5614269783244012,0.5710048005638227
74,606208,0.03611609484396431,2.571228962790006e-05,0.000244140625,69.9213853295254,0.5615555397725408,0.5714930818138227
75,614400,0.03013176985045618,4.032056243878925e-05,0.00042724609375,70.07204417877769,0.5617571425847347,0.5723475740013227
76,622592,0.03723431904464897,1.3579959263825247e-05,0.00018310546875,70.25821577400093,0.5618250423810539,0.5727137849388227
77,630784,0.03699474947792662,6.501764519861985e-05,0.00042724609375,70.44318952139056,0.562150130607047,0.5735682771263227
78,638976,0.03949459463656167,0.000149381789453951,0.0006103515625,70.64066249457338,0.5628970395543168,0.5747889802513227
79,647168,0.03968278435038802,3.146093673594413e-05,0.000244140625,70.83907641632531,0.5630543442379965,0.5752772615013227
80,655360,0.0303248031133289,3.4853072687781195e-05,0.00018310546875,70.99070043189195,0.5632286096014354,0.5756434724388227
81,663552,0.03501031944220762,9.2079548076557e-05,0.00042724609375,71.16575202910299,0.5636890073418181,0.5764979646263227
82,671744,0.03904352525164361,2.426754918967246e-05,0.00018310546875,71.3609696553612,0.5638103450877665,0.5768641755638227
83,679936,0.03399353624932112,3.3762708988214606e-05,0.00030517578125,71.5309373366078,0.5639791586327075,0.5774745271263227
84,688128,0.03552524855478236,1.4346316263359103e-05,0.00018310546875,71.70856357938172,0.5640508902140243,0.5778407380638227
85,696320,0.0364797866906007,0.00013779014051796282,0.00042724609375,71.89096251283472,0.5647398409166141,0.5786952302513227
86,704512,0.037449159008227206,2.754040813760978e-05,0.00018310546875,72.07820830787585,0.5648775429573022,0.5790614411888227
87,712704,0.03921963544437277,5.506056745615943e-05,0.00030517578125,72.27430648509772,0.565152845794583,0.5796717927513227
88,720896,0.03483243487496372,1.6902078662749798e-05,0.00018310546875,72.44846865947254,0.5652373561878967,0.5800380036888227
89,729088,0.03530605768208487,8.814217628090124e-05,0.0006103515625,72.62499894788296,0.5656780670693012,0.5812587068138227
90,737280,0.03640919225730629,3.46849137801978e-05,0.0001220703125,72.80704490916949,0.5658514916382023,0.5815028474388227
91,745472,0.03642490819512971,7.899121637840197e-05,0.00042724609375,72.98916945014514,0.5662464477200942,0.5823573396263227
92,753664,0.04113658340628565,5.376161623199343e-05,0.00048828125,73.19485236717657,0.5665152558012542,0.5833339021263227
93,761856,0.03430345483759566,0.00011766675793484501,0.00030517578125,73.36636964136454,0.5671035895909284,0.5839442536888227
94,770048,0.03869627460884519,9.551740263168772e-05,0.00048828125,73.55985101440876,0.5675811766040869,0.5849208161888227
95,778240,0.03476057861545552,3.4403983398733555e-06,6.103515625e-05,73.73365390748604,0.5675983785957863,0.5850428865013227
96,786432,0.03288967148385831,3.1503007639105575e-05,0.00030517578125,73.89810226490533,0.5677558936339818,0.5856532380638227
97,794624,0.03492798779008033,2.3459244774345304e-05,0.00018310546875,74.07274220385574,0.5678731898578535,0.5860194490013227
98,802816,0.03750008105536753,3.316800738152457e-05,0.000244140625,74.26024260913258,0.5680390298947612,0.5865077302513227
99,811008,0.030955175428720613,3.739343303696199e-05,0.000244140625,74.41501848627618,0.568225997059946,0.5869960115013227
100,819200,0.033908598495280835,7.6849194157592e-05,0.0001220703125,74.58456147875259,0.568610243030734,0.5872401521263227
101,827392,0.03353002651290198,3.161587932352822e-05,0.000244140625,74.7522116113171,0.5687683224273516,0.5877284333763227
102,835584,0.035120622277007435,6.065444053438273e-05,0.000244140625,74.92781472270214,0.5690715946300235,0.5882167146263227
103,843776,0.03494135167195535,8.001361241089777e-05,0.000244140625,75.10252148106191,0.569471662692078,0.5887049958763227
104,851968,0.042271741325618964,3.864110099354847e-05,0.00030517578125,75.31388018769,0.5696648681970458,0.5893153474388227
105,860160,0.03683573908499674,2.2420868747332013e-05,0.00030517578125,75.498058883115,0.5697769725407824,0.5899256990013227
106,868352,0.028952867269757446,5.404259194735785e-05,0.00030517578125,75.64282321946378,0.5700471855005192,0.5905360505638227
107,876544,0.03325099368581301,0.00014452387873832345,0.00042724609375,75.80907818789284,0.5707698048942109,0.5913905427513227
108,884736,0.03796998974802017,2.7032216875933168e-05,0.000244140625,75.99892813663294,0.5709049659785906,0.5918788240013227
109,892928,0.03530616007154083,7.418925738040248e-05,0.00030517578125,76.17545893699065,0.5712759122654927,0.5924891755638227
110,901120,0.041154655466522125,6.142689757354682e-05,0.00054931640625,76.38123221432326,0.5715830467533605,0.5935878083763227
111,909312,0.03375271245734363,0.0,0.0,76.54999577660998,0.5715830467533605,0.5935878083763227
112,917504,0.039026104063907524,1.939988674148091e-05,0.00018310546875,76.74512629692951,0.5716800461870679,0.5939540193138227
113,925696,0.03215121463053149,6.632654561984118e-05,0.00042724609375,76.90588237008217,0.5720116789151671,0.5948085115013227
114,933888,0.03998749888333281,1.206853464113687e-05,0.0001220703125,77.10581986449883,0.5720720215883728,0.5950526521263227
115,942080,0.03506269833257189,2.1324369084709275e-05,0.00030517578125,77.28113335616169,0.5721786434337963,0.5956630036888227
116,950272,0.03399599888732477,9.200694825596507e-06,0.0001220703125,77.45111335059832,0.5722246469079243,0.5959071443138227
117,958464,0.03404310384692941,0.00011077749743882228,0.0003662109375,77.62132886983296,0.5727785343951184,0.5966395661888227
118,966656,0.041369093321730596,1.3903084818061787e-05,0.0001220703125,77.82817433644162,0.5728480498192087,0.5968837068138227
119,974848,0.03264156133598628,5.6315469417338095e-05,0.000244140625,77.99138214312156,0.5731296271662953,0.5973719880638227
120,983040,0.03726079964076687,7.239587265450964e-05,0.0003662109375,78.1776861413254,0.5734916065295679,0.5981044099388227
121,991232,0.0366279676479988,3.867008224922754e-05,0.00018310546875,78.36082597956539,0.573684956940814,0.5984706208763227
