arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design,method,seed,gap_mass,gap_co2
ga,none,8.454545454545455,20.0,516.1523336674153,355,rolled,533.1538114916123,0.0329388762100452,True,True,1.0009988008520023,2,378.04223471903225,164.45290985913238,9.724364320843089,6.000571680542574,355.0,rolled,1.0,False,original,,4800,1,4801,0.973989725112915,0.0001325607299804,0.9741222858428956,ga,-1,0.11036419626763161,0.2661115727450767
ga,none,8.454545454545455,30.909090909090907,633.218032838701,355,rolled,634.419204385166,0.0018969319952563,True,True,1.000939209284376,2,366.40576812911655,189.45647459026804,11.359292656373292,6.000151106234146,355.0,rolled,1.0,False,original,,4800,1,4801,0.9383082389831544,0.0001313686370849,0.9384396076202391,ga,-1,0.09573302364333824,0.26517957578324003
ga,none,8.454545454545455,41.81818181818181,757.3789000305048,355,rolled,784.7947890965863,0.0361983797871544,True,True,1.0007543412064432,1,384.1390863469951,201.92106497738573,13.39240688132384,6.903372989839814,355.0,rolled,1.0,False,original,,4800,1,4801,0.9883973598480223,0.0002305507659912,0.9886279106140136,ga,-1,0.19023718220302688,0.38941082193232535
ga,none,8.454545454545455,52.72727272727273,897.7427828478864,355,rolled,924.2900231154464,0.0295710985092464,True,True,1.0009984569707695,2,529.3971802471433,193.52708750798445,13.227927190507508,8.261937285222213,355.0,rolled,1.0,False,original,,4800,1,4801,0.936711311340332,0.0001444816589355,0.9368557929992676,ga,-1,0.2712355496944441,0.47643737618381965
ga,none,8.454545454545455,63.63636363636363,969.5859503873623,355,rolled,962.035189226287,-0.0077876140408787,True,True,1.0009727137180695,2,459.1068586398502,231.95520049840937,13.889557403335177,7.4431902067570705,355.0,rolled,1.0,False,original,,4800,1,4801,0.988884210586548,0.0001323223114013,0.9890165328979492,ga,-1,0.221228976690377,0.41026779061803187
ga,none,8.454545454545455,74.54545454545453,1093.1775012217977,355,rolled,1100.9744108180066,0.0071323363200346,True,True,1.000997337103037,2,541.5355305177561,221.88963296458505,15.314048100102555,8.322748716700978,355.0,rolled,1.0,False,original,,4800,1,4801,0.9421553611755372,0.0001401901245117,0.9422955513000488,ga,-1,0.283640473846277,0.4820427238578804
ga,none,8.454545454545455,85.45454545454545,1181.2789978646645,355,rolled,1214.0422512611412,0.0277354066699748,True,True,1.0009999968132002,2,568.6732236781663,216.30499926549928,17.415068772429887,8.708377725373273,355.0,rolled,1.0,False,original,,4800,1,4801,0.9435820579528807,0.0001642704010009,0.9437463283538818,ga,-1,0.32965443252943816,0.5316210920770224
ga,none,8.454545454545455,96.36363636363636,1257.923897819336,355,rolled,1267.209310512374,0.0073815377139545,True,True,1.0009997523344507,2,512.9456407336118,259.6605681897124,16.222237477859945,8.931960678922607,355.0,rolled,1.0,False,original,,4800,1,4801,1.6325242519378662,0.0002074241638183,1.6327316761016846,ga,-1,0.3032192722818512,0.4711786705712546
ga,none,8.454545454545455,107.27272727272728,1345.9822136266182,460,rolled,1350.9984626737378,0.003726831600251,True,True,1.000998252239326,2,584.7771519067786,257.3826974522475,16.71801846579234,8.980520138607785,355.0,rolled,0.0,False,original,,4800,1,4801,1.5749855041503906,0.0002009868621826,1.5751864910125732,ga,-1,0.318765534394293,0.5124925201646469
ga,none,8.454545454545455,118.18181818181816,1418.3994702060834,355,rolled,1452.4195110652176,0.0239848093387904,True,True,1.0000900550450642,2,656.4073601494771,244.6614003065643,16.480549528136972,10.44297346614759,355.0,rolled,1.0,False,original,,4800,1,4801,1.5363314151763916,0.0001442432403564,1.536475658416748,ga,-1,0.3497469453110713,0.4929641715266615
ga,none,8.454545454545455,129.0909090909091,1503.943042662674,355,rolled,1533.0118386362203,0.0193283888744092,True,True,1.0008094764436064,2,702.1213707616761,247.034991476652,15.945313781179022,11.198500940316489,355.0,rolled,1.0,False,original,,4800,1,4801,0.9455742835998536,0.000145673751831,0.9457199573516846,ga,-1,0.3624191743932603,0.5383121846606831
ga,none,8.454545454545455,140.0,1589.050557323039,355,rolled,1583.359542204625,-0.0035813933623364,True,True,0.998458766541406,2,627.22576086181,290.4400415097522,17.309716547148984,9.844726253000308,355.0,rolled,1.0,False,original,,4800,1,4801,0.9366679191589355,0.0002014636993408,0.9368693828582764,ga,-1,0.3298657193953778,0.5177189649005811
ga,none,9.272727272727272,20.0,633.3700898588271,355,rolled,633.5776284186219,0.0003276734457748,True,True,1.000997253258858,2,347.2860841385215,180.73998896747665,10.62450444997209,6.000467870437939,355.0,rolled,1.0,False,original,,4800,1,4801,0.9507148265838624,0.0001277923583984,0.9508426189422609,ga,-1,0.07332882438535449,0.2154862153527608
ga,none,9.272727272727272,30.909090909090907,801.8071464602682,355,rolled,791.463837693386,-0.0128999957315729,True,True,1.0009889813123518,2,381.5633308935394,206.27549469072972,12.251033916470991,6.125909168023602,355.0,rolled,1.0,False,original,,4800,1,4801,0.9903883934020996,0.0001482963562011,0.9905366897583008,ga,-1,0.1234680656172602,0.27289458823537394
ga,none,9.272727272727272,41.81818181818181,962.5021253931346,355,rolled,944.1288424353774,-0.0190890829983909,True,True,1.0008944775671875,2,430.37269349649455,216.09404551060967,13.526012311580432,6.923841931906375,355.0,rolled,1.0,False,original,,4800,1,4801,1.004396915435791,0.0001397132873535,1.0045366287231443,ga,-1,0.162988770699936,0.34230888217408717
ga,none,9.272727272727272,52.72727272727273,1070.6846994207378,355,rolled,1107.610121867283,0.0344876717361539,True,True,1.0007665293273502,1,451.98502844802255,226.06162437023272,15.212566344214425,7.723997532209527,355.0,rolled,1.0,False,original,,4800,1,4801,0.9918177127838136,0.0001320838928222,0.9919497966766356,ga,-1,0.22921373806354173,0.4092452979030834
