costing,space,proposals,span_m,load_kNm,reference,achieved,gap
original,raw,40,13.363636363636363,52.72727272727273,2503.477994394611,2994.4042229465235,0.19609768076696366
original,raw,40,13.363636363636363,63.63636363636363,2942.666807874382,6753.081495986857,1.2948848567959024
original,raw,40,13.363636363636363,74.54545454545453,3246.8124640164788,4863.919316789638,0.49805982658225756
original,raw,40,13.363636363636363,85.45454545454545,3626.480295778446,,
original,raw,40,13.363636363636363,96.36363636363636,3985.0843936185074,,
original,raw,40,13.363636363636363,107.27272727272728,4299.585213933902,,
original,raw,40,13.363636363636363,118.18181818181816,4639.765192767582,,
original,raw,40,13.363636363636363,129.0909090909091,5011.593967074791,,
original,raw,40,13.363636363636363,140.0,5775.260737408862,,
original,raw,40,14.181818181818182,20.0,1593.8777053579288,2727.407250204002,0.7111772384014383
original,raw,40,14.181818181818182,30.909090909090907,2008.2518170171472,3461.249663067677,0.7235137713997764
original,raw,40,14.181818181818182,41.81818181818181,2553.981911869284,4588.4634771462925,0.7965920024030051
original,raw,40,14.181818181818182,52.72727272727273,2994.9908045830825,4353.309178468049,0.4535300648691145
original,raw,40,14.181818181818182,63.63636363636363,3422.394407931884,4476.7433888713695,0.3080734875255413
original,raw,40,14.181818181818182,74.54545454545453,3877.89015147114,,
original,raw,40,14.181818181818182,85.45454545454545,4346.819839298043,,
original,raw,40,14.181818181818182,96.36363636363636,4726.7747503063865,,
original,raw,40,14.181818181818182,107.27272727272728,5228.199585900407,,
original,raw,40,14.181818181818182,118.18181818181816,6021.5726386585375,,
original,raw,40,14.181818181818182,129.0909090909091,7339.357801242832,,
original,raw,40,14.181818181818182,140.0,8792.358071189423,,
original,raw,40,15.0,20.0,1822.7607913317145,2819.5335726333988,0.5468478288768979
original,raw,40,15.0,30.909090909090907,2362.270236410251,4363.420204548661,0.8471299927054043
original,raw,40,15.0,41.81818181818181,3001.5397178272915,5135.812483408765,0.7110593116276995
original,raw,40,15.0,52.72727272727273,3503.587546633667,5514.747480841333,0.5740287369556492
original,raw,40,15.0,63.63636363636363,4039.4076811948185,7288.024974384002,0.8042311025730073
original,raw,40,15.0,74.54545454545453,4613.23523086532,,
original,raw,40,15.0,85.45454545454545,5101.637723412046,,
original,raw,40,15.0,96.36363636363636,5729.262990800587,,
original,raw,40,15.0,107.27272727272728,7317.284243630855,,
original,raw,40,15.0,118.18181818181816,9238.359339706907,,
original,raw,400,6.0,20.0,241.32394330328117,489.26278674668544,1.0274108737391625
original,raw,400,6.0,30.909090909090907,293.1784667866335,453.6192113163829,0.5472460044158474
original,raw,400,6.0,41.81818181818181,342.2463887683556,435.6791148105711,0.27299842776560035
original,raw,400,6.0,52.72727272727273,381.4244664406149,584.8292999742314,0.5332768383521753
original,raw,400,6.0,63.63636363636363,420.0142340236296,629.3193781077135,0.49832869252785517
original,raw,400,6.0,74.54545454545453,446.8639375548273,624.0180587056145,0.3964386164615299
original,raw,400,6.0,85.45454545454545,477.37692626914094,571.1885527368877,0.1965147901070874
original,raw,400,6.0,96.36363636363636,512.46686792508,605.1264313206973,0.18081083713916035
original,raw,400,6.0,107.27272727272728,535.2426456429821,763.290201619538,0.4260638755766639
original,raw,400,6.0,118.18181818181816,564.7428560600844,776.1866164023471,0.37440714490378024
original,raw,400,6.0,129.0909090909091,594.324631241322,757.8813907569321,0.27519767971588394
original,raw,400,6.0,140.0,627.5758504760335,831.8552657532696,0.3255055386887251
original,raw,400,6.818181818181818,20.0,318.7579376671374,517.7188837897716,0.6241756599968935
original,raw,400,6.818181818181818,30.909090909090907,391.217405378461,445.53094510209223,0.1388321147702738
original,raw,400,6.818181818181818,41.81818181818181,453.9046681994346,695.2822651361009,0.5317803799951468
original,raw,400,6.818181818181818,52.72727272727273,500.8636251128394,666.7883937083716,0.33127733833366535
original,raw,400,6.818181818181818,63.63636363636363,548.9888134965665,754.8438793262274,0.37497133050589615
original,raw,400,6.818181818181818,74.54545454545453,589.9325742722189,781.0564847832599,0.32397585562523745
original,raw,400,6.818181818181818,85.45454545454545,633.738385926991,947.7078252531904,0.4954243680015462
original,raw,400,6.818181818181818,96.36363636363636,674.2139324503815,866.8573123181426,0.28573034551156873
original,raw,400,6.818181818181818,107.27272727272728,721.7545869895499,921.8197217013134,0.2771927443457456
original,raw,400,6.818181818181818,118.18181818181816,765.2838592685139,1110.9157685747787,0.45163883325153664
original,raw,400,6.818181818181818,129.0909090909091,809.9367375252903,1114.8522526296456,0.3764683103966924
original,raw,400,6.818181818181818,140.0,872.8903969562454,1148.3488966302384,0.31557054658238015
original,raw,400,7.636363636363637,20.0,410.4402624982554,802.2201773634899,0.9545357769741214
original,raw,400,7.636363636363637,30.909090909090907,505.73617341263,766.1331901989663,0.5148870705237816
original,raw,400,7.636363636363637,41.81818181818181,577.103938384453,814.9490900283827,0.41213572776812835
original,raw,400,7.636363636363637,52.72727272727273,636.6691386461515,904.4998337723905,0.420674851141315
original,raw,400,7.636363636363637,63.63636363636363,695.9762579966414,926.0135232161182,0.33052458697605025
original,raw,400,7.636363636363637,74.54545454545453,759.9937607556299,953.2394352614322,0.254272711809721
original,raw,400,7.636363636363637,85.45454545454545,821.0715784057063,1197.9091133179636,0.4589582014810103
original,raw,400,7.636363636363637,96.36363636363636,885.4130387972486,1123.5222074213236,0.2689243982080094
original,raw,400,7.636363636363637,107.27272727272728,972.5059662387416,1152.2895168864814,0.18486627011972945
original,raw,400,7.636363636363637,118.18181818181816,1008.7637482124452,1314.0770833732126,0.302660891315524
original,raw,400,7.636363636363637,129.0909090909091,1053.171608858608,1326.0835436714653,0.25913339527698653
original,raw,400,7.636363636363637,140.0,1114.1163843552508,1534.987466853284,0.37776222341581955
original,raw,400,8.454545454545455,20.0,503.5977986749521,704.841418905606,0.3996117948890139
original,raw,400,8.454545454545455,30.909090909090907,630.7869497001437,863.100100329192,0.3682909907053127
