span_m,load_kNm,optimal_economy,optimal_grade,optimal_type,agent_economy,agent_grade,agent_type,agent_util,feasible,in_target_band,gap,gap_mass,gap_co2
10.09090909090909,30.909090909090907,964.7090665866748,355,rolled,1450.6027096603896,500.0,rolled,1.000998638805913,True,True,0.5036685772975052,0.15290283703236288,0.2808484561125782
10.09090909090909,41.81818181818181,1147.2574547707825,355,rolled,1686.7426158855199,500.0,rolled,1.000995511234182,True,True,0.4702389676103908,0.16438369909789344,0.29874084332404116
10.09090909090909,52.72727272727273,1318.1429375417918,355,rolled,1878.116983574643,500.0,rolled,1.0009901561548928,True,True,0.42482042734845454,0.17032025726740255,0.28511032753385607
10.09090909090909,63.63636363636363,1473.4968374975142,355,rolled,2089.554681905615,500.0,rolled,1.0009919636231537,True,True,0.4180924103334833,0.1944595353822597,0.3046631699201452
10.09090909090909,74.54545454545453,1593.8205978972342,355,rolled,2283.1055812237064,500.0,rolled,1.0009973767574663,True,True,0.43247338140557506,0.20205548410397214,0.3092776755967057
10.09090909090909,85.45454545454545,1744.078619322344,355,rolled,2345.5798900587906,500.0,rolled,1.0009958155396732,True,True,0.3448819703839716,0.1481489841310976,0.242090773852027
10.09090909090909,96.36363636363636,1930.113776773892,355,rolled,2521.594010507998,500.0,rolled,1.0009939701983122,True,True,0.30644837669763786,0.12715895399761745,0.2649816262917857
10.09090909090909,107.27272727272728,2067.605711285596,355,rolled,2681.327131337632,500.0,rolled,1.0009936435019822,True,True,0.2968271062041304,0.13080098243987837,0.2860787405227563
10.09090909090909,118.18181818181816,2170.353625378734,355,rolled,2840.533224086103,500.0,rolled,1.0009952145915986,True,True,0.3087882043141337,0.13485051670124346,0.26986307497574563
10.09090909090909,129.0909090909091,2307.5736162550616,355,rolled,2997.678857987521,500.0,rolled,1.000997221964862,True,True,0.2990609863413261,0.16330636109557262,0.29043483431887723
10.09090909090909,140.0,2443.406284429296,355,rolled,3155.1304256832955,500.0,rolled,1.000999662861249,True,True,0.29128358463735227,0.14165291873197355,0.295368108547038
10.90909090909091,20.0,939.0466900997784,355,rolled,1417.6823269274291,500.0,rolled,1.0009875290861043,True,True,0.5097037685919464,0.1318541405067419,0.24238284090769663
10.90909090909091,30.909090909090907,1197.1649157491154,355,rolled,1701.5115489683478,500.0,rolled,1.0009971601231515,True,True,0.42128417445615,0.12078325617053187,0.2535994258513212
10.90909090909091,41.81818181818181,1403.509472950396,355,rolled,2030.7984725662122,500.0,rolled,1.000987410241875,True,True,0.4469431889883556,0.17982066898414623,0.286374252440262
10.90909090909091,52.72727272727273,1588.7457907355176,355,rolled,2262.6012493207563,500.0,rolled,1.0009972851718862,True,True,0.424143033148981,0.17505803101205758,0.2773401107634175
10.90909090909091,63.63636363636363,1789.9941201560932,355,rolled,2480.485109465488,500.0,rolled,1.0009890036820035,True,True,0.3857504231629442,0.17290077609183607,0.2622895153561007
10.90909090909091,74.54545454545453,1942.2808212955651,355,rolled,2649.6626225874033,500.0,rolled,1.0009888604609019,True,True,0.3642016095386203,0.1304078557810269,0.23534063496173133
10.90909090909091,85.45454545454545,2177.190622234541,355,rolled,2838.2879845984758,500.0,rolled,1.0009936556373955,True,True,0.3036469823140351,0.13921072026630565,0.24345709896939932
10.90909090909091,96.36363636363636,2344.698716886334,355,rolled,3038.862840604878,500.0,rolled,1.0009995518043595,True,True,0.2960568531552601,0.12285217249845985,0.24649359107909802
10.90909090909091,107.27272727272728,2499.121791022924,355,rolled,3240.0354310640305,500.0,rolled,1.0009979548048908,True,True,0.29646960092242675,0.12700836411204988,0.2617579530125114
10.90909090909091,118.18181818181816,2669.547168301596,355,rolled,3597.9635302062247,500.0,rolled,1.0009944596260325,True,True,0.3477804673873962,0.19230397976892571,0.30412974243474067
10.90909090909091,129.0909090909091,2855.841135487434,355,rolled,3812.2354309519296,500.0,rolled,1.000997159404332,True,True,0.3348905804248312,0.2050841067280358,0.3454192157003454
10.90909090909091,140.0,3078.8301843712,460,rolled,3997.5426590728343,500.0,rolled,1.0009990884992401,True,True,0.29839660510190363,0.20196342324824787,0.3377315773297891
11.727272727272728,20.0,1117.8784812198996,355,rolled,1692.331560650352,500.0,rolled,1.0009987190371468,True,True,0.5138779295613356,0.15480464579639613,0.2557905353787056
11.727272727272728,30.909090909090907,1399.1707585826318,355,rolled,2058.536742324813,500.0,rolled,1.0009967104929998,True,True,0.47125483412054925,0.15639144533979082,0.24048482604091645
11.727272727272728,41.81818181818181,1658.320920880548,355,rolled,2416.753684783348,500.0,rolled,1.000998911347663,True,True,0.4573498135090049,0.18378755335887512,0.263439045321532
11.727272727272728,52.72727272727273,1896.895430152976,355,rolled,2687.6826841609213,500.0,rolled,1.000999459569525,True,True,0.41688500137520607,0.18546390054134385,0.2699978752981655
11.727272727272728,63.63636363636363,2122.483987052358,355,rolled,3006.4782991883303,500.0,rolled,1.0009952207256385,True,True,0.4164904505892821,0.18741804736368026,0.261171123724319
11.727272727272728,74.54545454545453,2414.680044837911,355,rolled,3305.0630008640724,500.0,rolled,1.0009917990320427,True,True,0.3687374474020345,0.1755908144552755,0.2873211863712849
11.727272727272728,85.45454545454545,2607.2244497923484,355,rolled,3410.642569702308,500.0,rolled,1.0009969901351998,True,True,0.3081507309330224,0.11624903992824503,0.235303878608749
11.727272727272728,96.36363636363636,2809.399526814627,460,rolled,3670.1231007438264,500.0,rolled,1.0009918541145981,True,True,0.3063727909519196,0.1243671992415525,0.251204370645814
11.727272727272728,107.27272727272728,3054.1802093068686,355,rolled,4071.939158221647,500.0,rolled,1.0009950200837878,True,True,0.33323474031211603,0.17833073291612117,0.3085980279621823
11.727272727272728,118.18181818181816,3357.8991517305085,355,rolled,4333.631315020264,500.0,rolled,1.0009942682872244,True,True,0.29057816188044466,0.17904324435465457,0.3015208375580388
11.727272727272728,129.0909090909091,3564.383823711408,460,rolled,4593.600644381733,500.0,rolled,1.0009994354096037,True,True,0.2887502781893605,0.1816845903820729,0.30082580156411826
11.727272727272728,140.0,3755.070343632353,460,rolled,4829.760271571567,500.0,rolled,1.0009975186797122,True,True,0.28619701619215077,0.18027382216376153,0.29616374733474743
12.545454545454549,20.0,1307.1994834284806,355,rolled,1986.6779159068274,500.0,rolled,1.0009938830320106,True,True,0.5197970478815006,0.15575279773709702,0.2512663827135139
12.545454545454549,30.909090909090907,1673.5520688887286,355,rolled,2460.8569272920754,500.0,rolled,1.0009975407773115,True,True,0.4704394162806853,0.18070767589584438,0.2592790291133018
12.545454545454549,41.81818181818181,1957.4303873162305,355,rolled,2802.898027435107,500.0,rolled,1.0009899818186263,True,True,0.43192730918930394,0.1698033994999703,0.22140959202743044
12.545454545454549,52.72727272727273,2222.5772160497027,355,rolled,3199.1635449974756,500.0,rolled,1.0009872757329208,True,True,0.43939365611040887,0.17067019509434378,0.276133290238301
12.545454545454549,63.63636363636363,2552.3230156844406,355,rolled,3583.6168197506263,500.0,rolled,1.0009886265918515,True,True,0.4040608487752989,0.1765872309688931,0.286249802295864
12.545454545454549,74.54545454545453,2864.0220557743514,355,rolled,3764.400866396524,500.0,rolled,1.0009940782262292,True,True,0.31437565531552286,0.11265381270282672,0.2441279393955499
12.545454545454549,85.45454545454545,3136.2352005841685,355,rolled,4229.124537358257,500.0,rolled,1.0009998292627056,True,True,0.3484717398014416,0.15314549928341029,0.29608903117395197
12.545454545454549,96.36363636363636,3474.753399293351,355,rolled,4552.433202099441,500.0,rolled,1.0009949910283384,True,True,0.31014569351173354,0.16125157455100514,0.28893590237945677
12.545454545454549,107.27272727272728,3810.945853911128,460,rolled,4862.607562471795,500.0,rolled,1.0009980616542047,True,True,0.2759581869895526,0.15490662810631164,0.27948158836733383
12.545454545454549,118.18181818181816,4051.8868674716473,460,rolled,5168.204551895791,500.0,rolled,1.0009940726640443,True,True,0.2755056399491033,0.1496202156075514,0.2758760548820278
12.545454545454549,129.0909090909091,4389.083655555064,460,rolled,5628.839650786917,500.0,rolled,1.0009982445271945,True,True,0.2824635146023591,0.1901958771908602,0.3091930959810064
12.545454545454549,140.0,4731.036754406592,460,rolled,5957.795466141889,500.0,rolled,1.000997238503059,True,True,0.2593001862842572,0.19519744630876332,0.3036095180239942
13.363636363636363,20.0,1553.9456704912225,355,rolled,2295.08679018292,500.0,rolled,1.000995336213838,True,True,0.47694146183206865,0.1539629229878739,0.24855579171564635
13.363636363636363,30.909090909090907,2055.764041961098,355,rolled,2870.9619286639895,500.0,rolled,1.0009898289605537,True,True,0.3965425360418469,0.19978548217693476,0.23771490927166844
13.363636363636363,41.81818181818181,2295.1327804460216,355,rolled,3347.9915775600466,500.0,rolled,1.0009995263699025,True,True,0.4587354623157877,0.195976051871072,0.26336798980778986
13.363636363636363,52.72727272727273,2698.233573079863,355,rolled,3789.845406278682,500.0,rolled,1.0009913384725886,True,True,0.4045653586441787,0.16340592346491603,0.26320864189030135
