span_m,load_kNm,feasible,in_target_band,util,grade,section_type,economy,section_class,region
20.666666666666664,100.0,False,False,2.111082800523648,690.0,rolled,23758.919126774996,1,span_extrapolation
20.666666666666664,113.33333333333334,False,False,2.3925605072601344,690.0,rolled,23758.919126774996,1,span_extrapolation
20.666666666666664,126.66666666666667,False,False,2.674038213996621,690.0,rolled,23758.919126774996,1,span_extrapolation
20.666666666666664,140.0,False,False,2.955515920733107,690.0,rolled,23758.919126774996,1,span_extrapolation
21.333333333333332,20.0,True,True,0.9927594931864104,355.0,rolled,6047.4495315498325,1,span_extrapolation
21.333333333333332,33.333333333333336,True,True,0.9983447005328434,355.0,rolled,9165.818384809532,1,span_extrapolation
21.333333333333332,46.66666666666667,False,False,1.1094147417697224,620.0,rolled,20642.21490688,1,span_extrapolation
21.333333333333332,60.0,False,False,1.397511056878603,690.0,rolled,24525.3358728,1,span_extrapolation
21.333333333333332,73.33333333333334,False,False,1.708069069518293,690.0,rolled,24525.3358728,1,span_extrapolation
21.333333333333332,86.66666666666667,False,False,2.0186270821579826,690.0,rolled,24525.3358728,1,span_extrapolation
21.333333333333332,100.0,False,False,2.329185094797672,690.0,rolled,24525.3358728,1,span_extrapolation
21.333333333333332,113.33333333333334,False,False,2.639743107437362,690.0,rolled,24525.3358728,1,span_extrapolation
21.333333333333332,126.66666666666667,False,False,2.9503011200770515,690.0,rolled,24525.3358728,1,span_extrapolation
21.333333333333332,140.0,False,False,3.2608591327167407,690.0,rolled,24525.3358728,1,span_extrapolation
22.0,20.0,True,True,0.9833616303757753,355.0,rolled,6689.615283337358,1,span_extrapolation
22.0,33.333333333333336,False,True,1.0116326207234425,355.0,rolled,9851.058624542828,1,span_extrapolation
22.0,46.66666666666667,False,False,1.2498306601518456,550.0,rolled,18608.147626529993,1,span_extrapolation
22.0,60.0,False,False,1.5371975044225936,690.0,rolled,25291.752618824998,1,span_extrapolation
22.0,73.33333333333334,False,False,1.878796949849837,690.0,rolled,25291.752618824998,1,span_extrapolation
22.0,86.66666666666667,False,False,2.22039639527708,690.0,rolled,25291.752618824998,1,span_extrapolation
22.0,100.0,False,False,2.561995840704323,690.0,rolled,25291.752618824998,1,span_extrapolation
22.0,113.33333333333334,False,False,2.903595286131566,690.0,rolled,25291.752618824998,1,span_extrapolation
22.0,126.66666666666667,False,False,3.245194731558809,690.0,rolled,25291.752618824998,1,span_extrapolation
22.0,140.0,False,False,3.586794176986052,690.0,rolled,25291.752618824998,1,span_extrapolation
6.0,150.0,True,False,0.720274490598213,355.0,rolled,1015.9987854604376,1,load_extrapolation
6.0,162.22222222222223,True,False,0.7929109336470143,355.0,rolled,1203.6637734947365,1,load_extrapolation
6.0,174.44444444444446,True,False,0.7507067330348052,355.0,welded,1272.0638325335622,2,load_extrapolation
6.0,186.66666666666666,True,False,0.7890035269775211,355.0,welded,1315.2559196101502,2,load_extrapolation
6.0,198.88888888888889,True,False,0.6298646107440691,355.0,rolled,1254.1748262742235,1,load_extrapolation
6.0,211.11111111111111,True,False,0.8550255927878412,355.0,welded,1412.7546735165492,2,load_extrapolation
6.0,223.33333333333331,True,False,0.8763547972123407,355.0,welded,1455.5238534526925,2,load_extrapolation
6.0,235.55555555555554,True,False,0.8782750736547807,355.0,welded,1480.1769800834884,1,load_extrapolation
6.0,247.77777777777777,True,True,0.9196399868106464,355.0,welded,1500.579772793786,1,load_extrapolation
6.0,260.0,True,False,0.7342920119890872,355.0,rolled,1331.5217265268784,1,load_extrapolation
7.0,150.0,True,True,0.9122481937610049,355.0,rolled,1221.6036420997202,1,load_extrapolation
7.0,162.22222222222223,True,False,0.8045394398945745,355.0,welded,1658.9993325069051,1,load_extrapolation
7.0,174.44444444444446,True,False,0.8362073941859737,355.0,welded,1715.4907933835088,2,load_extrapolation
7.0,186.66666666666666,True,False,0.7504011824376405,355.0,rolled,1669.8150039497386,1,load_extrapolation
