reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
PPO OOD (ppo_ood_span),poly3,208,3,scale+thin,0.072865347379278,0.12539557777595714,-0.05253023039667914,-0.11112391674693387,-0.005287042831907372,0.7619047619047619,88.01282051282051,103.96153846153847,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,1,none,0.03484936998601262,0.3060339361047219,-0.27118456611870934,-0.29750484959411416,-0.2462490584699144,1.0,7.923076923076923,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,1,scale,0.026476408746496125,0.3801640990986623,-0.3536876903521662,-0.4270172917877496,-0.2881893023725216,1.0,23.67948717948718,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,1,scale+thin,0.026009599887434155,0.28427199571068484,-0.25826239582325067,-0.3429178252239334,-0.18164404871839998,1.0,70.55128205128206,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,2,none,0.0362625880841224,0.4061128297849479,-0.3698502417008254,-0.44629428113891856,-0.30226090689674456,1.0,14.538461538461538,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,2,scale,0.03418279802028614,0.39176257829536065,-0.35757978027507453,-0.42082734198354704,-0.30188383220365933,1.0,31.28205128205128,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,2,scale+thin,0.03372583747638238,0.30358514121547114,-0.2698593037390888,-0.3450216702531643,-0.20190694290653044,1.0,84.06410256410257,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,3,none,0.05002698597620926,0.4061128297849479,-0.35608584380873853,-0.4339323824684139,-0.29128862614353335,1.0,20.82051282051282,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,3,scale,0.05680758352819633,0.39176257829536065,-0.3349549947671644,-0.3872984475307613,-0.28704256152264224,1.0,37.47435897435897,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),gp,208,3,scale+thin,0.05635062298429257,0.30358514121547114,-0.2472345182311786,-0.3100458336866799,-0.18810643227291535,1.0,90.3076923076923,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,1,none,0.01403283542855191,0.30478924230342275,-0.29075640687487087,-0.3231285848737834,-0.2586690130129324,1.0,8.179487179487179,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,1,scale,0.009867177825500884,0.3801640990986623,-0.37029692127316144,-0.43987360540400755,-0.3070150512786976,1.0,24.0,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,1,scale+thin,0.009768640557273837,0.28427199571068484,-0.274503355153411,-0.3603483786025788,-0.20072866771549022,1.0,70.66666666666667,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,2,none,0.04131257306000158,0.4061128297849479,-0.36480025672494626,-0.4455678892229204,-0.29692809795787123,1.0,14.961538461538462,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,2,scale,0.0388319552676343,0.39176257829536065,-0.3529306230277264,-0.41320372566997454,-0.2968333473423827,1.0,31.692307692307693,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,2,scale+thin,0.02411394080989624,0.30358514121547114,-0.27947120040557494,-0.35265329567398157,-0.2105318918864824,1.0,83.96153846153847,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,3,none,0.04585206545344317,0.4061128297849479,-0.3602607643315047,-0.4365958763979713,-0.2921596857940026,1.0,21.128205128205128,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,3,scale,0.05296806655141709,0.39176257829536065,-0.3387945117439436,-0.39589207682504546,-0.29134546489356133,1.0,37.782051282051285,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),knn,208,3,scale+thin,0.03825005514849826,0.30358514121547114,-0.2653350860669729,-0.33278718002494717,-0.20417741905375641,1.0,89.96153846153847,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,1,none,0.11578010001228127,0.3659471768930942,-0.2501670768808129,-0.33690691888929586,-0.18532530642206846,1.0,7.0,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,1,scale,0.10628492075090827,0.3801640990986623,-0.2738791783477541,-0.357339769111842,-0.20189161679129017,1.0,22.602564102564102,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,1,scale+thin,0.03829090730052672,0.28427199571068484,-0.2459810884101581,-0.33370109777010676,-0.16792672976172388,1.0,70.97435897435898,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,2,none,0.11695810937841615,0.4061128297849479,-0.28915472040653173,-0.37463445144586593,-0.2125397220451674,1.0,11.897435897435898,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,2,scale,0.11307604608435384,0.39176257829536065,-0.27868653221100687,-0.35124108230866996,-0.2140871536241146,1.0,28.641025641025642,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,2,scale+thin,0.03917005408087702,0.30358514121547114,-0.2644150871345941,-0.3410658333943233,-0.19380951049842665,1.0,81.56410256410257,113.15384615384616,span_extrapolation
