reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
DE reparam G=40 + repair (OOD),knn,208,3,scale,0.04921080409481438,0.33638246720753695,-0.2871716631127226,-0.3331581833806979,-0.24224973855201434,0.9545454545454546,35.41843971631206,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,3,scale+thin,0.047457331263831073,0.22461280490384336,-0.1771554736400123,-0.21654035523572432,-0.1408481872808731,0.9545454545454546,81.62411347517731,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,1,none,0.03360837592849314,0.3141007903883589,-0.2804924144598658,-0.3270316921880322,-0.23932265231460187,1.0,6.560283687943262,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,1,scale,0.04255395668808671,0.3526557621036902,-0.3101018054156035,-0.3677580186755439,-0.25719986730433386,1.0,23.47517730496454,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,1,scale+thin,0.03411874313468236,0.23364169068890658,-0.19952294755422426,-0.25328915361207677,-0.15263092780990384,1.0,70.68794326241135,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,2,none,0.030747371103848103,0.32305952421959855,-0.29231215311575043,-0.3390520645585818,-0.2530041246440401,1.0,12.843971631205674,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,2,scale,0.03392223214521397,0.3362660092684992,-0.3023437771232852,-0.36124745092279226,-0.2444511597858403,0.9761904761904762,29.77304964539007,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,2,scale+thin,0.024882603236934454,0.22269390818948642,-0.197811304952552,-0.25197211935397024,-0.14795396974707792,0.9761904761904762,77.82978723404256,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,3,none,0.06269898327596084,0.3464267918973826,-0.2837278086214218,-0.32295331473962063,-0.24925114502321244,1.0,17.98581560283688,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,3,scale,0.06060834915738212,0.33638246720753695,-0.2757741180501548,-0.32493495899023567,-0.23004307648411462,0.9772727272727273,35.283687943262414,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,3,scale+thin,0.054106469139738995,0.22461280490384336,-0.17050633576410437,-0.21044749927714398,-0.13310928412148673,0.9772727272727273,84.99290780141844,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,1,none,0.17532608276402345,0.32305952421959855,-0.14773344145557507,-0.2006125267940286,-0.1018803118248706,0.8648648648648649,7.23404255319149,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,1,scale,0.1351961627603389,0.3526557621036902,-0.2174595993433513,-0.2827839357262497,-0.1586766078738455,0.95,24.28368794326241,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,1,scale+thin,0.0703076419508261,0.23364169068890658,-0.16333404873808052,-0.2208580579473241,-0.11175275205250323,0.9,72.06382978723404,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,2,none,0.1527276379462356,0.32305952421959855,-0.17033188627336296,-0.22047267060440254,-0.12654620561313037,0.918918918918919,14.23404255319149,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,2,scale,0.13201481123320574,0.3362660092684992,-0.20425119803529346,-0.27063170980909146,-0.14388009760343795,0.8809523809523809,31.24822695035461,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,2,scale+thin,0.07311255202864096,0.22269390818948642,-0.14958135616084547,-0.2108346979803083,-0.09246158308860429,0.8095238095238095,77.93617021276596,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,3,none,0.16061203530586857,0.3373100186449794,-0.17669798333911083,-0.22383670671360442,-0.13569255020535262,0.9230769230769231,20.368794326241133,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,3,scale,0.14740579486056282,0.33638246720753695,-0.18897667234697407,-0.24500951518220052,-0.13821471781766387,0.8863636363636364,37.794326241134755,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,3,scale+thin,0.10227561560658699,0.22461280490384336,-0.12233718929725633,-0.166865947520547,-0.08095538769191281,0.8181818181818182,85.81560283687944,111.53191489361703,load_extrapolation
