context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
25,9.857143,165.714286,2596.489349148936,ppo_ood_load,policy,40,0,scale+thin,40,82,122,1,3039.7445631450014,0.1707132802764446
26,9.857143,181.428571,2778.4364695846,ppo_ood_load,policy,40,0,scale+thin,40,83,123,1,2900.236274724165,0.043837534697266145
27,9.857143,197.142857,2934.59017073786,ppo_ood_load,policy,40,0,scale+thin,40,85,125,1,3149.8761972832094,0.07336153057829509
28,9.857143,212.857143,3092.903946849261,ppo_ood_load,policy,40,0,scale+thin,40,71,111,1,3442.4543297146206,0.11301688926403486
29,9.857143,228.571429,3278.0505051710666,ppo_ood_load,policy,40,0,scale+thin,40,71,111,1,3693.585435360705,0.12676282123601812
30,9.857143,244.285714,3503.3130527973344,ppo_ood_load,policy,40,0,scale+thin,40,73,113,1,3960.122358283168,0.1303935156811291
31,9.857143,260.0,3720.59576057169,ppo_ood_load,policy,40,0,scale+thin,40,58,98,1,4280.573595941622,0.15050757228296385
32,11.142857,150.0,3412.4966998531304,ppo_ood_load,policy,40,0,scale+thin,40,85,125,1,3635.198118276787,0.06526055202727132
33,11.142857,165.714286,3681.539358959639,ppo_ood_load,policy,40,0,scale+thin,40,71,111,1,4057.245573128323,0.1020513914252581
34,11.142857,181.428571,4001.813446814073,ppo_ood_load,policy,40,0,scale+thin,40,72,112,1,4426.543517590356,0.10613440042149369
35,11.142857,197.142857,4332.975062229721,ppo_ood_load,policy,40,0,scale+thin,40,85,125,1,4433.24685020505,0.023141556675318142
36,11.142857,212.857143,4658.140801057062,ppo_ood_load,policy,40,0,scale+thin,40,78,118,1,7452.982717096261,0.5999908623210726
37,11.142857,228.571429,5137.886749115688,ppo_ood_load,policy,40,0,scale+thin,40,80,120,1,9031.738579084646,0.7578703112985414
38,11.142857,244.285714,6871.433005819378,ppo_ood_load,policy,40,0,scale+thin,40,80,120,1,9625.188869619662,0.4007542329915963
39,11.142857,260.0,8337.065935629631,ppo_ood_load,policy,40,0,scale+thin,40,80,120,1,10220.041447446209,0.22585589778886295
40,12.428571,150.0,4886.521183652799,ppo_ood_load,policy,40,0,scale+thin,40,58,98,1,5444.456248308093,0.11417837837719613
41,12.428571,165.714286,5340.456835444255,ppo_ood_load,policy,40,0,scale+thin,40,85,125,1,6855.64045291911,0.28371797847305547
42,12.428571,181.428571,7499.029230834781,ppo_ood_load,policy,40,0,scale+thin,40,80,120,1,10899.081370018795,0.4533989713233224
43,12.428571,197.142857,9997.68170860264,ppo_ood_load,policy,40,0,scale+thin,40,82,122,1,11856.69681369864,0.18594461789040406
44,12.428571,212.857143,12790.67961945902,ppo_ood_load,policy,40,0,scale+thin,12,83,95,1,12786.810008433884,-0.0003025336526488731
45,13.714286,150.0,11343.005436312367,ppo_ood_load,policy,40,0,scale+thin,7,82,89,1,13188.513729945278,0.1627001154142873
46,13.714286,165.714286,15604.275186931443,ppo_ood_load,policy,40,0,scale+thin,10,71,81,1,15604.13534692961,-8.961646738359086e-06
0,6.0,150.0,718.2839060185494,ppo_ood_load,policy,40,0,none,40,1,41,1,825.4739755028842,0.1492307826838135
1,6.0,165.714286,766.0869680124856,ppo_ood_load,policy,40,0,none,40,1,41,1,952.1996908102864,0.2429394188503773
2,6.0,181.428571,809.0128740060688,ppo_ood_load,policy,40,0,none,40,1,41,1,996.7367822795976,0.2320406934242687
3,6.0,197.142857,854.6554477993761,ppo_ood_load,policy,40,0,none,40,1,41,1,1059.745226181133,0.23996778925336004
4,6.0,212.857143,895.7569021904145,ppo_ood_load,policy,40,0,none,40,1,41,1,1086.7306517992572,0.2131981893099013
5,6.0,228.571429,927.0052988628717,ppo_ood_load,policy,40,0,none,40,1,41,1,1104.8379765871346,0.19183566473935443
6,6.0,244.285714,968.4098952439792,ppo_ood_load,policy,40,0,none,40,1,41,1,1130.492223417557,0.16736954978422958
7,6.0,260.0,1013.7382545756694,ppo_ood_load,policy,40,0,none,40,1,41,1,1156.0471598655658,0.14038032465240646
8,7.285714,150.0,1153.3708205133214,ppo_ood_load,policy,40,0,none,40,1,41,1,1334.5337669701507,0.15707259385684869
9,7.285714,165.714286,1218.9044722408655,ppo_ood_load,policy,40,0,none,40,1,41,1,1327.909508441969,0.08942869493349681
10,7.285714,181.428571,1289.0609260869776,ppo_ood_load,policy,40,0,none,40,1,41,1,1481.8851552037688,0.1495850391665512
11,7.285714,197.142857,1353.7155222893743,ppo_ood_load,policy,40,0,none,40,1,41,1,1512.613563211385,0.11737919696250931
12,7.285714,212.857143,1426.808505633445,ppo_ood_load,policy,40,0,none,40,1,41,1,1600.8587840830871,0.12198573092495746
