model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals,region
mlp,208,1,scale,141,3,0.851063829787234,0.0425539566880867,0.026760190650423565,0.103948474758371,0.19021394059434438,0.01653908117509335,0.6099290780141844,23.47517730496454,16.914893617021278,,load_extrapolation
mlp,208,2,scale,141,3,0.8652482269503546,0.0319876278672718,0.018292432218758647,0.08665494636277299,0.19021394059434438,0.013485957315340887,0.7021276595744681,29.77304964539007,16.929078014184398,,load_extrapolation
mlp,208,3,scale,141,3,0.9078014184397163,0.05959837061159875,0.019726861894070913,0.24557155178239906,0.2812777025589437,0.01582712631272675,0.6382978723404256,35.283687943262414,17.29787234042553,,load_extrapolation
poly3,208,1,scale,141,3,0.851063829787234,0.13519616276033894,0.1078154375261744,0.29222458321151507,0.49186817344093003,0.02885308628284383,0.2907801418439716,24.28368794326241,17.04964539007092,,load_extrapolation
poly3,208,2,scale,141,3,0.8652482269503546,0.1339051104829712,0.15778819430901814,0.2791353919807458,0.49186817344093003,0.0007715414945353474,0.28368794326241137,31.24822695035461,17.01418439716312,,load_extrapolation
poly3,208,3,scale,141,3,0.9078014184397163,0.14968845457135047,0.16855994643841687,0.27419774088448307,0.49186817344093003,0.01469185040066698,0.2553191489361702,37.794326241134755,17.425531914893618,,load_extrapolation
gp,208,1,scale+thin,141,3,0.851063829787234,0.0250861535621703,0.015440837311495481,0.05086476971615119,0.15050757228305667,0.0030358499966588455,0.75177304964539,68.94326241134752,62.40425531914894,,load_extrapolation
gp,208,2,scale+thin,141,3,0.8652482269503546,0.013612196218811093,0.011358014614417433,0.02448165738513992,0.16221499047237598,0.0010829761937217052,0.8581560283687943,76.94326241134752,64.0709219858156,,load_extrapolation
gp,208,3,scale+thin,141,3,0.9078014184397163,0.052108607209478644,0.0128418218856724,0.2507908444605722,0.26977204148151257,0.0072786115338373,0.75177304964539,84.34751773049645,66.05673758865248,,load_extrapolation
knn,208,1,scale+thin,141,3,0.851063829787234,0.016061499820587008,0.002985311360481191,0.04903800296851354,0.15050757228305578,0.0033468389508394974,0.7659574468085106,68.41843971631205,61.86524822695036,,load_extrapolation
