method,space,mode,gen_budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,seedmean_sd,frac_gap_le_2pct,frac_gap_le_5pct,mean_n_gen,mean_n_repair,mean_n_total,max_n_total
de,reparam,none,400,710,142,5,1.0,0.07411314130636547,0.061462708358287,0.14903493379980373,0.4678416639276312,0.004772955858737259,0.1591549295774648,0.4140845070422535,400.0,0.0,400.0,400
de,reparam,none,1600,710,142,5,1.0,0.017063050830248814,0.01024107176250795,0.04479376162554554,0.2338347331283268,0.0005627530017038497,0.6380281690140845,0.923943661971831,1600.0,0.0,1600.0,1600
ga,reparam,none,10,710,142,5,0.8887323943661972,0.6758615483774697,0.5805696151419948,1.225539007100504,2.461819693530747,0.03418381125812096,0.0014084507042253522,0.004225352112676056,10.0,0.0,10.0,10
ga,reparam,none,25,710,142,5,0.9408450704225352,0.4328225848984812,0.3839328447787492,0.7462294365084928,1.6771916488310192,0.019232952313256425,0.0,0.004225352112676056,25.0,0.0,25.0,25
ga,reparam,none,40,710,142,5,0.9633802816901409,0.35663615299301316,0.3208809442457379,0.6228169309032869,1.6836869198351412,0.025085228279508133,0.004225352112676056,0.018309859154929577,40.0,0.0,40.0,40
ga,reparam,none,100,710,142,5,0.9746478873239437,0.2303933932565761,0.18471232794169784,0.4449844697048038,1.4501664692166147,0.008684689001851613,0.022535211267605635,0.07042253521126761,100.0,0.0,100.0,100
ga,reparam,none,400,710,142,5,0.9985915492957746,0.0860991141544167,0.0694429266839629,0.1769857285905397,0.7896741466585577,0.004298075414518959,0.21830985915492956,0.4056338028169014,400.0,0.0,400.0,400
ga,reparam,none,1600,710,142,5,1.0,0.016986430555051966,0.0022195889561004503,0.07564853875074241,0.3764303600412462,0.00338560080644353,0.7323943661971831,0.8380281690140845,1600.0,0.0,1600.0,1600
rand,reparam,none,10,710,142,5,0.8873239436619719,0.668946326138247,0.5666811973711009,1.2676582792295124,2.618416150311273,0.04534309159552243,0.0028169014084507044,0.0028169014084507044,10.0,0.0,10.0,10
rand,reparam,none,25,710,142,5,0.9535211267605633,0.4334416633916399,0.3881911377389164,0.7811338905378401,1.8333096335681505,0.022505148445618964,0.0028169014084507044,0.011267605633802818,25.0,0.0,25.0,25
rand,reparam,none,40,710,142,5,0.9619718309859155,0.34017445011886616,0.3125988574771934,0.5594496500751863,1.5536443102209652,0.012762292716068628,0.0028169014084507044,0.01267605633802817,40.0,0.0,40.0,40
rand,reparam,none,100,710,142,5,0.9873239436619718,0.23384074253102644,0.2101405789360879,0.3995960791380555,1.1180485354513845,0.010580691884172657,0.007042253521126761,0.036619718309859155,100.0,0.0,100.0,100
rand,reparam,none,400,710,142,5,0.995774647887324,0.1294286053075713,0.1182870403887226,0.2189359746716168,0.7797835902869277,0.006190950902421809,0.030985915492957747,0.13802816901408452,400.0,0.0,400.0,400
rand,reparam,none,1600,710,142,5,1.0,0.06393472438847503,0.057237338683674255,0.11920300029631734,0.3841874787585808,0.0030475608242878606,0.1563380281690141,0.4394366197183099,1600.0,0.0,1600.0,1600
cmaes,raw,scale,10,710,142,5,0.9366197183098591,0.9184198963763371,0.7988977367765886,1.6675065359691474,3.1424700404153576,0.029427895312124287,0.0014084507042253522,0.0028169014084507044,10.0,18.1056338028169,28.1056338028169,35
cmaes,raw,scale,25,710,142,5,0.9605633802816902,0.7024357041957121,0.5689724687554615,1.3433999502183278,2.6271187301499626,0.041299310730765905,0.0028169014084507044,0.007042253521126761,25.0,17.883098591549295,42.8830985915493,50
cmaes,raw,scale,40,710,142,5,0.9704225352112676,0.5049989655675058,0.4137131667120368,0.9592791092509966,1.769576269770199,0.05627869162438175,0.008450704225352112,0.01267605633802817,40.0,17.885915492957746,57.88591549295775,65
cmaes,raw,scale,100,710,142,5,0.9901408450704225,0.2841326230597736,0.2477730508514795,0.495736881727927,1.497331867437587,0.02356348913242976,0.007042253521126761,0.030985915492957747,100.0,17.94507042253521,117.94507042253521,125
cmaes,raw,scale,400,710,142,5,0.9943661971830986,0.06975158035463909,0.041892052043738304,0.17146271533541835,0.5474057633003149,0.0028236958976822785,0.2915492957746479,0.5422535211267606,400.0,17.949295774647887,417.9492957746479,418
cmaes,raw,scale,1600,710,142,5,0.9971830985915493,0.018133124431107973,-0.0008641732525334501,0.07415647159385408,1.4367759954228694,0.007821925617090593,0.7746478873239436,0.8633802816901408,1600.0,17.984507042253522,1617.9845070422534,1625
de,raw,scale,10,710,142,5,0.9549295774647887,0.7848468493361663,0.6947564750513432,1.3987995896076142,2.91080784515966,0.06381535833546707,0.0028169014084507044,0.004225352112676056,10.0,18.104225352112675,28.104225352112675,35
de,raw,scale,25,710,142,5,0.9746478873239437,0.609420370084095,0.5174737967121426,1.077523080201664,2.1261121037389272,0.037930058300023356,0.0,0.004225352112676056,25.0,18.0943661971831,43.0943661971831,50
de,raw,scale,40,710,142,5,0.9732394366197183,0.5099015002814963,0.4431390550971379,0.9563142023183888,2.7273804291013466,0.01784645842003627,0.007042253521126761,0.009859154929577466,40.0,17.99014084507042,57.99014084507042,65
de,raw,scale,100,710,142,5,0.9915492957746479,0.31095162295719564,0.25471246988184704,0.5735034523839536,1.6929302864244562,0.022540657249589213,0.011267605633802818,0.02535211267605634,100.0,18.001408450704226,118.00140845070422,125
de,raw,scale,400,710,142,5,0.9985915492957746,0.09191971487890792,0.0614253421070574,0.20429787612161557,0.8296636395056183,0.004073090832711059,0.19577464788732393,0.4197183098591549,400.0,17.991549295774647,417.99154929577463,419
de,raw,scale,1600,710,142,5,1.0,0.009050833642870995,0.0020916647547729,0.03042154069163588,0.4704607521371258,0.002133605557749705,0.819718309859155,0.9492957746478873,1600.0,18.0,1618.0,1618
ga,raw,scale,10,710,142,5,0.9492957746478873,0.8272216070335545,0.6953283071193779,1.574272742750479,3.369900088997393,0.04702666547680474,0.0,0.0014084507042253522,10.0,18.13661971830986,28.13661971830986,35
ga,raw,scale,25,710,142,5,0.967605633802817,0.6533391236412427,0.5280802241914662,1.2494983596557228,2.817996932718567,0.020379582119713253,0.0014084507042253522,0.0028169014084507044,25.0,18.123943661971833,43.12394366197183,50
ga,raw,scale,40,710,142,5,0.9774647887323944,0.5676102080518758,0.46533056276997825,1.11239146519744,2.1667730399976146,0.00839453435738005,0.0014084507042253522,0.005633802816901409,40.0,18.032394366197185,58.03239436619718,65
ga,raw,scale,100,710,142,5,0.9887323943661972,0.35169427429544997,0.300298582366024,0.6549104197521222,1.8293296046967995,0.010114484710739544,0.008450704225352112,0.023943661971830985,100.0,17.971830985915492,117.97183098591549,124
ga,raw,scale,400,710,142,5,1.0,0.11286121830346088,0.0900551856513309,0.24019451901996766,0.7216466368728989,0.00998265199569497,0.09154929577464789,0.29014084507042254,400.0,18.0,418.0,418
ga,raw,scale,1600,710,142,5,1.0,0.024720350076596592,0.014959931748816751,0.061463772659140485,0.3672952663275808,0.0022427606984917396,0.5887323943661972,0.8690140845070422,1600.0,18.0,1618.0,1618
rand,raw,scale,10,710,142,5,0.9478873239436619,0.8119040945931025,0.6943871344359966,1.545209941559999,3.386855883161049,0.04726827744712002,0.0,0.0014084507042253522,10.0,18.077464788732396,28.077464788732396,34
rand,raw,scale,25,710,142,5,0.967605633802817,0.6609200740491217,0.5467202826003359,1.2458118415774275,2.673008436198149,0.028441468036267986,0.0014084507042253522,0.004225352112676056,25.0,18.07605633802817,43.07605633802817,50
rand,raw,scale,40,710,142,5,0.9647887323943662,0.5963981479554198,0.4901900879365439,1.0869948927215787,3.0153354652818445,0.02881776567549536,0.0014084507042253522,0.005633802816901409,40.0,17.95492957746479,57.95492957746479,65
rand,raw,scale,100,710,142,5,0.9816901408450704,0.466966510865118,0.3897339074057748,0.8121392026543532,2.1378383293534955,0.0203603189214506,0.007042253521126761,0.01267605633802817,100.0,18.043661971830986,118.04366197183099,124
rand,raw,scale,400,710,142,5,0.9845070422535211,0.33677924996581404,0.2768238347582639,0.5977224161756705,1.5261124279464546,0.009331989975473865,0.007042253521126761,0.023943661971830985,400.0,17.977464788732394,417.9774647887324,425
rand,raw,scale,1600,710,142,5,0.9943661971830986,0.2429490144125624,0.19922279166941295,0.38232615632672723,1.7142748712545486,0.013247652098189863,0.011267605633802818,0.030985915492957747,1600.0,18.00281690140845,1618.0028169014086,1620
cmaes,reparam,scale,10,710,142,5,0.956338028169014,0.7507930161807271,0.656136312786892,1.4357944019650424,2.3816964083827963,0.014942923195260003,0.005633802816901409,0.007042253521126761,10.0,17.67887323943662,27.67887323943662,33
cmaes,reparam,scale,25,710,142,5,0.9774647887323944,0.5402362329911442,0.44797889564675397,1.0602298407177546,2.1141008758355464,0.01974898711744444,0.007042253521126761,0.015492957746478873,25.0,17.864788732394366,42.864788732394366,48
cmaes,reparam,scale,40,710,142,5,0.9845070422535211,0.43767330208333416,0.3645073432030221,0.9129375618256442,1.7283993335998091,0.03098461169865396,0.011267605633802818,0.02676056338028169,40.0,17.91830985915493,57.91830985915493,63
cmaes,reparam,scale,100,710,142,5,0.9887323943661972,0.22469703881854042,0.16553592781603915,0.47309012375804294,1.349259435873443,0.005995398978293181,0.0323943661971831,0.09577464788732394,100.0,17.909859154929578,117.90985915492958,120
cmaes,reparam,scale,400,710,142,5,0.9985915492957746,0.09051794290686829,0.0689520898585309,0.15663457361110703,1.529528256667438,0.008204598300582002,0.1352112676056338,0.35352112676056335,400.0,17.988732394366195,417.9887323943662,419
cmaes,reparam,scale,1600,710,142,5,1.0,0.035891886231448865,0.02481779414359015,0.08332693645512797,0.4693488299233115,0.0033179462606697774,0.45774647887323944,0.7056338028169014,1600.0,18.0,1618.0,1618
de,reparam,scale,10,710,142,5,0.9394366197183098,0.6383566825785607,0.5396760289130733,1.2198777190188312,2.252703579772083,0.0324295995887848,0.004225352112676056,0.008450704225352112,10.0,17.528169014084508,27.528169014084508,33
de,reparam,scale,25,710,142,5,0.9788732394366197,0.3934572350297708,0.3485786407788516,0.6555571499098518,1.969452888214407,0.019172099270672822,0.005633802816901409,0.016901408450704224,25.0,17.850704225352114,42.85070422535211,49
de,reparam,scale,40,710,142,5,0.9887323943661972,0.3361310024046126,0.3112288726905892,0.5354151452641485,1.7486856214411133,0.012641600554178282,0.008450704225352112,0.02535211267605634,40.0,17.922535211267604,57.92253521126761,61
