mode,span_m,load_kNm,util,grade,stype,h,b,tf,tw,c_agent,c_rescaled,util_rescaled,scale,c_samegrade,c_opt,opt_grade,opt_type,infeasible,gap_total,gap_after_rescale,gap_shape_plus_grade,comp_slack,comp_shape,comp_grade
False,9.272727272727272,118.18181818181816,0.8390607710436445,355.0,rolled,750.0,273.55146625149825,18.634072366055356,10.727470359710287,1949.8944172946037,1761.0933988815332,1.0009999999984343,0.9503545245116585,1645.849345217246,1645.849345217246,355,rolled,False,0.1847344490921341,0.07002102227593343,0.0,0.11471342681620067,0.07002102227593343,0.0
False,9.272727272727272,129.0909090909091,0.8469394464128457,355.0,rolled,750.0,279.99984160123165,19.88317562904187,10.74819205656587,2051.2916399197074,1860.6882022770676,1.0009999999995576,0.9524081365119855,1740.933618872136,1740.933618872136,355,rolled,False,0.1782710252034978,0.06878756438887912,0.0,0.10948346081461868,0.06878756438887912,0.0
False,9.272727272727272,140.0,0.8615201019044462,355.0,rolled,750.0,285.13011942987475,21.022521125627122,10.684125456055733,2136.967086991988,1956.2998980794257,1.000999999998979,0.9567947848996485,1902.270024824972,1856.5687456377927,460,rolled,False,0.1510304113505201,0.05371799599447202,0.02461599081346133,0.09731241535604807,0.029102005181010693,0.02461599081346133
False,10.09090909090909,20.0,0.6420403515099916,355.0,rolled,389.9333279807575,209.9487347279225,14.707206483950992,6.589854598045349,1017.0837589602227,817.8298099259906,1.0009999999983772,0.894492718334368,742.9343178494156,742.9343178494156,355,rolled,False,0.36900898844515906,0.10081038158713174,0.0,0.2681986068580273,0.10081038158713174,0.0
False,10.09090909090909,30.909090909090907,0.7855403145825244,355.0,rolled,450.0238471527237,216.33613486688566,16.994323692874378,6.524345682355694,1197.4009390090455,1047.9558431919697,1.0009999999978414,0.9355170232018281,915.5475138288588,915.5475138288588,355,rolled,False,0.30785231888344455,0.14462201836950395,0.0,0.1632303005139406,0.14462201836950395,0.0
False,10.09090909090909,41.81818181818181,0.7724219029561177,355.0,rolled,487.05601040381316,245.50041097420353,15.885320194568193,7.948418101272392,1358.1085574570354,1169.8062739722554,1.000999999997694,0.9280892243117707,1059.829316571149,1059.829316571149,355,rolled,False,0.281440828463686,0.10376855563583876,0.0,0.17767227282784726,0.10376855563583876,0.0
False,10.09090909090909,52.72727272727273,0.8562379695325656,355.0,rolled,518.1856179443567,249.81725979059013,18.529866341388086,7.141134946662005,1509.8087032487183,1380.9796803475967,1.0009999999977375,0.9563848369624792,1213.1595349712586,1213.1595349712586,355,rolled,False,0.24452609877437737,0.13833312152165878,0.0,0.10619297725271859,0.13833312152165878,0.0
False,10.09090909090909,63.63636363636363,0.9355588119342042,355.0,rolled,605.5207608834247,227.98923803305487,19.09754418848452,9.000477628334979,1643.0593915526283,1583.5102120123674,1.0009999999998023,0.9817113298247935,1357.496004947102,1357.496004947102,355,rolled,False,0.21036038821834624,0.16649346019554057,0.0,0.043866928022805673,0.16649346019554057,0.0
False,10.09090909090909,74.54545454545453,0.8758226687981538,355.0,rolled,639.8890339011892,252.33574065621312,19.433737099170397,8.99238481851339,1809.3363694650607,1678.5866184397487,1.0009999999988388,0.9631905694947818,1486.8770563048004,1486.8770563048004,355,rolled,False,0.21687019232218097,0.1289343737749149,0.0,0.08793581854726606,0.1289343737749149,0.0
False,10.09090909090909,85.45454545454545,0.9771149395199165,355.0,rolled,658.5101475686857,252.1039110380102,18.967866967825188,9.883884176412346,1867.0412433459767,1841.9778313902589,1.0009999999993355,0.9932652545694508,1614.031417022214,1614.031417022214,355,rolled,False,0.15675644454960458,0.14122799095732064,0.0,0.015528453592283942,0.14122799095732064,0.0
False,10.09090909090909,96.36363636363636,0.8356444615391065,355.0,rolled,750.0,280.58653787508376,17.567487841784708,11.890452585496401,2183.543095500655,1972.3454194906242,1.0009999999978527,0.9504091395479918,1788.8199315380907,1771.028921502606,460,rolled,False,0.23292345426412164,0.11367205557389415,0.010045578488006912,0.1192513986902275,0.10362647708588724,0.010045578488006912
False,10.09090909090909,107.27272727272728,0.9680752971784815,355.0,rolled,744.9356492618613,264.96267019255885,22.195355978269276,9.868431878288561,2221.2101768385273,2178.370141737248,1.0009999999998143,0.9903096488483241,1916.4589042949708,1916.4589042949708,355,rolled,False,0.15901790111991398,0.13666415536242837,0.0,0.02235374575748561,0.13666415536242837,0.0
False,10.09090909090909,118.18181818181816,0.846513930089731,355.0,rolled,750.0,300.0,20.531552741777997,11.133516507536266,2403.9878121354186,2180.1447199262025,1.0009999999996253,0.952306022657649,2076.30196798726,2076.30196798726,355,rolled,False,0.15782186271576526,0.05001331865017988,0.0,0.10780854406558538,0.05001331865017988,0.0
False,10.09090909090909,129.0909090909091,0.8587286266224557,355.0,rolled,750.0,300.0,22.672474330482956,10.831398158452902,2525.7806497639026,2308.375618712384,1.000999999998232,0.9559945653976684,2210.304923798717,2210.304923798717,355,rolled,False,0.14272950422740616,0.044369758153150585,0.0,0.09835974607425557,0.044369758153150585,0.0
False,10.09090909090909,140.0,0.86048556804221,355.0,rolled,750.0,300.0,24.84938988972652,11.149202940474614,2701.9951723455174,2471.3345887210107,1.00099999999983,0.9563645937692853,2388.205677583476,2328.49511615869,460,rolled,False,0.16040405392947066,0.061344115163085355,0.025643412782110575,0.0990599387663853,0.03570070238097478,0.025643412782110575
False,10.90909090909091,20.0,0.6670608437746158,355.0,rolled,402.30796553088436,226.95809592674922,15.771815404929912,6.64312540324788,1237.2405876382977,1009.9964425124297,1.000999999998326,0.9035097484320429,893.7291943214849,893.7291943214849,355,rolled,False,0.38435735958877904,0.13009225717328654,0.0,0.2542651024154925,0.13009225717328654,0.0
False,10.90909090909091,30.909090909090907,0.8606239310940871,355.0,rolled,477.97893647109004,218.80528632338272,19.08619323748539,6.4434046332113075,1438.3514918186695,1321.9356512978695,1.0009999999982138,0.9586777403555969,1088.9504710209037,1088.9504710209037,355,rolled,False,0.3208603422249299,0.2139538817211213,0.0,0.10690646050380859,0.2139538817211213,0.0
False,10.90909090909091,41.81818181818181,0.8945977433359259,355.0,rolled,557.3260856578971,232.95595986300236,17.171283030832697,8.223165681681937,1581.6847694379724,1489.2132849260483,1.000999999998276,0.9703278232762387,1270.814818254924,1270.814818254924,355,rolled,False,0.24462254194512267,0.17185703497778548,0.0,0.07276550696733719,0.17185703497778548,0.0
False,10.90909090909091,52.72727272727273,0.974754638344393,355.0,rolled,579.346881723315,242.75592511365943,19.912139125353193,7.687250890718817,1776.3773753703624,1749.8609864282469,1.0009999999980765,0.9925083237180843,1441.605296538102,1441.605296538102,355,rolled,False,0.23222173200680407,0.2138280780671351,0.0,0.018393653939668964,0.2138280780671351,0.0
False,10.90909090909091,63.63636363636363,0.9249911740617609,355.0,rolled,629.3575470295795,246.77120715397868,20.187482107101154,9.419525072398152,1994.4913991541964,1910.0636256386092,1.0009999999978354,0.9786059076001038,1652.8026644341987,1646.7666813117896,460,rolled,False,0.21115603187053456,0.1598872185810083,0.003665354170027779,0.05126881328952626,0.15622186441098052,0.003665354170027779
False,10.90909090909091,74.54545454545453,0.9091303787916479,355.0,rolled,668.598356921764,268.731484576731,19.55913015296031,10.050536401755556,2165.1989521060814,2052.114132539686,1.0009999999993267,0.9735356318608865,1847.0428217431545,1797.093634182035,460,rolled,False,0.20483368864171236,0.14190718474929453,0.027794426851806442,0.06292650389241783,0.11411275789748809,0.027794426851806442
