k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,7.636363636363637,41.81818181818181,1,577.103938384453,576.2176538396419,-0.0015357450986943633,1.000992255570581,3.0,534.328405619887,195.96705253308917,8.41164753009239,6.0,355.0,rolled,1,24
1,1.0,142,7.636363636363637,52.72727272727273,1,636.6691386461515,637.9597559085875,0.002027139661866517,1.0009985776407284,3.0,587.3148749796966,207.8142336750437,8.829690837944783,6.0,355.0,rolled,1,24
1,1.0,142,7.636363636363637,63.63636363636363,1,695.9762579966414,703.9269055456998,0.011423733866934294,1.0009962528454381,3.0,594.6615557655307,222.35646015419033,9.828079227301757,6.0,355.0,rolled,1,24
1,1.0,142,7.636363636363637,74.54545454545453,1,759.9937607556299,765.2036356337607,0.006855154801469476,1.0009997624950966,3.0,600.3300214289847,241.63856329552087,10.396255363051216,6.0,355.0,rolled,1,24
1,1.0,142,7.636363636363637,85.45454545454545,1,821.0715784057063,831.749081867976,0.013004351560922833,1.0009948822149333,3.0,605.1274180087728,253.80852541909343,11.319344791362976,6.0,355.0,rolled,1,24
1,1.0,142,7.636363636363637,96.36363636363636,1,885.4130387972486,919.7070154881055,0.03873217943282392,1.0009940050254833,3.0,613.1996110935406,237.36659250734343,14.130928491196585,6.0,355.0,rolled,1,24
1,1.0,142,7.636363636363637,107.27272727272728,1,972.5059662387416,951.4302427028389,-0.021671562198651628,1.0009977625943078,3.0,695.7287330706783,250.63050925850192,12.208330148902137,6.630203704375098,355.0,rolled,1,24
1,1.0,142,7.636363636363637,118.18181818181816,1,1008.7637482124452,997.5969758492135,-0.011069759775784394,1.000996300548628,3.0,705.7784842205984,275.3582411777714,11.76415978921533,6.749278896838019,355.0,rolled,1,24
1,1.0,142,7.636363636363637,129.0909090909091,1,1053.171608858608,1060.0837987517327,0.006563213283556024,1.000997903631099,3.0,731.5565527515478,272.3516716348881,12.548261297296612,6.996247196973283,355.0,rolled,1,24
1,1.0,142,7.636363636363637,140.0,1,1114.1163843552508,1107.065836125086,-0.0063283767559392246,1.0009957174256245,3.0,743.4941865333634,290.07295646849894,12.392818155104484,7.109949843020344,355.0,rolled,1,24
