k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,8.454545454545455,52.72727272727273,1,897.7427828478864,866.9495488134544,-0.034300731370679904,1.000999464559223,2.0,429.0553650942718,215.60195127799201,13.738043715568356,6.912428152279177,355.0,rolled,1,24
1,1.0,142,8.454545454545455,63.63636363636363,1,969.5859503873623,1001.3147643867622,0.03272408597373322,1.0009948620707219,2.0,558.7900938555429,214.7376172186041,12.55896662808165,8.721398522809267,355.0,rolled,1,24
1,1.0,142,8.454545454545455,74.54545454545453,1,1093.1775012217977,1093.1748060275004,-2.4654681369806752e-06,1.0009914297189357,2.0,566.8276050291996,226.5530503452963,13.592762489558453,8.915129539974448,355.0,rolled,1,24
1,1.0,142,8.454545454545455,85.45454545454545,1,1181.2789978646645,1172.5383865098413,-0.007399277707148877,1.000999930215472,2.0,558.2865871120065,244.49055838257638,14.70999303169069,8.647629722940644,355.0,rolled,1,24
1,1.0,142,8.454545454545455,96.36363636363636,1,1257.923897819336,1263.894102883718,0.004746078101172557,1.000996008139925,2.0,473.51129347405583,239.41020375895945,16.00928740919898,8.272533609177186,460.0,rolled,0,24
1,1.0,142,8.454545454545455,107.27272727272728,1,1345.9822136266182,1339.3531526502886,-0.004925073235899746,1.0009914830256308,2.0,603.9067670760031,261.2244457383268,15.367513653974397,9.441475456028353,355.0,rolled,0,24
1,1.0,142,8.454545454545455,118.18181818181816,1,1418.3994702060834,1427.1122524733544,0.006142685787950297,1.000999490891512,2.0,616.7015164414792,261.55665468742006,16.779420677496255,9.506157874811164,355.0,rolled,1,24
1,1.0,142,8.454545454545455,129.0909090909091,1,1503.943042662674,1514.8240797759652,0.007235006117004783,1.0009906700962767,2.0,651.1424427935459,257.02474751469924,17.454243932532982,10.10788537878744,355.0,rolled,1,24
1,1.0,142,8.454545454545455,140.0,1,1589.050557323039,1578.5762816866807,-0.006591530765392095,1.0009897696601504,2.0,648.6026750844468,275.08663655523515,17.647398048556756,9.997898923543,355.0,rolled,1,24
1,1.0,142,9.272727272727272,20.0,1,633.3700898588271,636.3679151208404,0.004733133613368912,1.0009936551187326,2.0,341.471838154922,181.4068900459713,10.756759145194215,6.0,355.0,rolled,1,24
1,1.0,142,9.272727272727272,30.909090909090907,1,801.8071464602682,784.8072237635554,-0.021202009450479786,1.000992275509278,2.0,389.7147745757932,204.1817959829873,12.145145138798416,6.077757014980934,355.0,rolled,1,24
1,1.0,142,9.272727272727272,41.81818181818181,1,962.5021253931346,934.358096852281,-0.029240484564497127,1.0009972150626407,2.0,426.60037769155736,221.11998367434109,13.277790310256346,6.69160803035804,355.0,rolled,1,24
1,1.0,142,9.272727272727272,52.72727272727273,1,1070.6846994207378,1074.83080728449,0.0038723891973009295,1.0009964858150149,2.0,458.45222434799376,236.5325799750834,14.040846400776745,7.416708582570726,355.0,rolled,1,24
1,1.0,142,9.272727272727272,63.63636363636363,1,1216.7126656588257,1239.6922946419609,0.018886652232466217,1.0009976926002655,2.0,546.4197270030933,240.20212007990028,14.475798032131872,8.480394784290858,355.0,rolled,1,24
1,1.0,142,9.272727272727272,74.54545454545453,1,1356.4151141978043,1303.1953161191243,-0.039235627442971044,1.0009911888237517,2.0,512.8367867198375,262.20717987264044,15.523592389203891,7.851549973778851,355.0,rolled,1,24
1,1.0,142,9.272727272727272,85.45454545454545,1,1422.5235716023028,1421.630242688424,-0.0006279888303520886,1.0009904972279429,2.0,533.4743090879505,271.5396273700469,16.355757095017182,8.236910419144719,355.0,rolled,1,24
1,1.0,142,9.272727272727272,96.36363636363636,1,1530.0841209322955,1542.0234197105208,0.0078030342351049775,1.0009969187480448,2.0,553.5336287262515,278.9484604168851,17.087398116639946,8.810366458805202,355.0,rolled,1,24
1,1.0,142,9.272727272727272,107.27272727272728,1,1647.0835657255905,1692.1849384257164,0.027382564940023224,1.0009991760245804,2.0,673.4349587527784,269.6192252067263,15.823809177386048,10.82889139693831,355.0,rolled,1,24
1,1.0,142,9.272727272727272,118.18181818181816,1,1794.0191544704012,1782.7942817837966,-0.006256829899855876,1.0009993026517474,2.0,706.8646847076681,270.4406947828411,16.45677480732362,10.995632513999764,355.0,rolled,1,24
1,1.0,142,9.272727272727272,129.0909090909091,1,1876.6125693849333,1882.8122041608262,0.0033036306358775747,1.000995380285038,2.0,668.5975912738352,286.41291259275823,18.74565173841031,10.281632831519849,355.0,rolled,1,24
1,1.0,142,9.272727272727272,140.0,1,1975.8458780810136,1966.9813961917778,-0.00448642375783137,1.0009933161204772,2.0,742.4817693640376,284.0675024717716,17.285989159326025,11.54967401950152,355.0,rolled,1,24
1,1.0,142,10.09090909090909,20.0,1,771.2799576046779,777.0795678533261,0.00751946189119157,1.0009985411995677,2.0,366.0853540946566,189.4997256969143,11.81718998218757,6.0,355.0,rolled,1,24
1,1.0,142,10.09090909090909,30.909090909090907,1,964.7090665866748,988.945135229714,0.025122671158042564,1.0009973182415517,2.0,413.46039069401036,209.94536812294658,13.558299307617956,6.785930153896837,355.0,rolled,1,24
1,1.0,142,10.09090909090909,41.81818181818181,1,1147.2574547707825,1160.8894704904062,0.011882263796095582,1.000995072585966,2.0,459.34229648969006,232.94222180864406,13.854500468047894,7.658718974913121,355.0,rolled,1,24
1,1.0,142,10.09090909090909,52.72727272727273,1,1318.1429375417918,1316.005766460898,-0.0016213500220844113,1.000995309776529,2.0,483.76671152622987,252.7232418885162,14.921449850359917,7.760165239414646,355.0,rolled,1,24
